a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,,
1,null,VF_AUDIO_CAP_01,sa2_destroyer,473.5, -100108, -114769,CLASSIFIED_01_CAPS,VF_FILE_01_BODY,intel_proto_youngblood,vf_photo_01_01,vf_photo_01_02,vf_photo_01_03,VF_FILE_CAPTION_01_01,VF_FILE_CAPTION_01_02,VF_FILE_CAPTION_01_03,VF_LOCATION_CAPTION_01_01,VF_LOCATION_CAPTION_01_02,VF_LOCATION_CAPTION_01_03,VF_DATE_CAPTION_01_01,VF_DATE_CAPTION_01_02,VF_DATE_CAPTION_01_03,VF_MISSION_NAME_01,VF_OP_NAME_01
2,null,VF_AUDIO_CAP_02,dh,26787, 7846, 131,CLASSIFIED_02_CAPS,VF_FILE_02_BODY,intel_proto_deerhunt,vf_photo_02_01,vf_photo_02_02,vf_photo_02_03,VF_FILE_CAPTION_02_01,VF_FILE_CAPTION_02_02,VF_FILE_CAPTION_02_03,VF_LOCATION_CAPTION_02_01,VF_LOCATION_CAPTION_02_02,VF_LOCATION_CAPTION_02_03,VF_DATE_CAPTION_02_01,VF_DATE_CAPTION_02_02,VF_DATE_CAPTION_02_03,VF_MISSION_NAME_02,VF_OP_NAME_02
3,null,VF_AUDIO_CAP_03,nml,7442, 3935, -581,CLASSIFIED_03_CAPS,VF_FILE_03_BODY,intel_proto_nml,vf_photo_03_01,vf_photo_03_02,vf_photo_03_03,VF_FILE_CAPTION_03_01,VF_FILE_CAPTION_03_02,VF_FILE_CAPTION_03_03,VF_LOCATION_CAPTION_03_01,VF_LOCATION_CAPTION_03_02,VF_LOCATION_CAPTION_03_03,VF_DATE_CAPTION_03_01,VF_DATE_CAPTION_03_02,VF_DATE_CAPTION_03_03,VF_MISSION_NAME_03,VF_OP_NAME_03
4,null,VF_AUDIO_CAP_04,enemyhq,4375,-5773,-918,CLASSIFIED_04_CAPS,VF_FILE_04_BODY,intel_proto_enemyhq,vf_photo_04_01,vf_photo_04_02,vf_photo_04_03,VF_FILE_CAPTION_04_01,VF_FILE_CAPTION_04_02,VF_FILE_CAPTION_04_03,VF_LOCATION_CAPTION_04_01,VF_LOCATION_CAPTION_04_02,VF_LOCATION_CAPTION_04_03,VF_DATE_CAPTION_04_01,VF_DATE_CAPTION_04_02,VF_DATE_CAPTION_04_03,VF_MISSION_NAME_04,VF_OP_NAME_04
5,null,VF_AUDIO_CAP_05,hc,-1458,2458,49,CLASSIFIED_05_CAPS,VF_FILE_05_BODY,intel_proto_homecoming,vf_photo_05_01,vf_photo_05_02,vf_photo_05_03,VF_FILE_CAPTION_05_01,VF_FILE_CAPTION_05_02,VF_FILE_CAPTION_05_03,VF_LOCATION_CAPTION_05_01,VF_LOCATION_CAPTION_05_02,VF_LOCATION_CAPTION_05_03,VF_DATE_CAPTION_05_01,VF_DATE_CAPTION_05_02,VF_DATE_CAPTION_05_03,VF_MISSION_NAME_05,VF_OP_NAME_05
6,null,VF_AUDIO_CAP_06,flood,6154, -1824, 167,CLASSIFIED_06_CAPS,VF_FILE_06_BODY,intel_proto_flood,vf_photo_06_01,vf_photo_06_02,vf_photo_06_03,VF_FILE_CAPTION_06_01,VF_FILE_CAPTION_06_02,VF_FILE_CAPTION_06_03,VF_LOCATION_CAPTION_06_01,VF_LOCATION_CAPTION_06_02,VF_LOCATION_CAPTION_06_03,VF_DATE_CAPTION_06_01,VF_DATE_CAPTION_06_02,VF_DATE_CAPTION_06_03,VF_MISSION_NAME_06,VF_OP_NAME_06
7,null,VF_AUDIO_CAP_07,cornered,-23884, 1998, 25119,CLASSIFIED_07_CAPS,VF_FILE_07_BODY,intel_proto_cornered,vf_photo_07_01,vf_photo_07_02,vf_photo_07_03,VF_FILE_CAPTION_07_01,VF_FILE_CAPTION_07_02,VF_FILE_CAPTION_07_03,VF_LOCATION_CAPTION_07_01,VF_LOCATION_CAPTION_07_02,VF_LOCATION_CAPTION_07_03,VF_DATE_CAPTION_07_01,VF_DATE_CAPTION_07_02,VF_DATE_CAPTION_07_03,VF_MISSION_NAME_07,VF_OP_NAME_07
8,null,VF_AUDIO_CAP_08,oilrocks,42658,6632,1548,CLASSIFIED_08_CAPS,VF_FILE_08_BODY,intel_proto_oilrocks,vf_photo_08_01,vf_photo_08_02,vf_photo_08_03,VF_FILE_CAPTION_08_01,VF_FILE_CAPTION_08_02,VF_FILE_CAPTION_08_03,VF_LOCATION_CAPTION_08_01,VF_LOCATION_CAPTION_08_02,VF_LOCATION_CAPTION_08_03,VF_DATE_CAPTION_08_01,VF_DATE_CAPTION_08_02,VF_DATE_CAPTION_08_03,VF_MISSION_NAME_08,VF_OP_NAME_08
9,null,VF_AUDIO_CAP_09,jungle_ghosts,-1552, 2597, 238,CLASSIFIED_09_CAPS,VF_FILE_09_BODY,intel_proto_jungleg,vf_photo_09_01,vf_photo_09_02,vf_photo_09_03,VF_FILE_CAPTION_09_01,VF_FILE_CAPTION_09_02,VF_FILE_CAPTION_09_03,VF_LOCATION_CAPTION_09_01,VF_LOCATION_CAPTION_09_02,VF_LOCATION_CAPTION_09_03,VF_DATE_CAPTION_09_01,VF_DATE_CAPTION_09_02,VF_DATE_CAPTION_09_03,VF_MISSION_NAME_09,VF_OP_NAME_09
10,null,VF_AUDIO_CAP_10,clockwork,-26659,2052,2111,CLASSIFIED_10_CAPS,VF_FILE_10_BODY,intel_proto_clockwork,vf_photo_10_01,vf_photo_10_02,vf_photo_10_03,VF_FILE_CAPTION_10_01,VF_FILE_CAPTION_10_02,VF_FILE_CAPTION_10_03,VF_LOCATION_CAPTION_10_01,VF_LOCATION_CAPTION_10_02,VF_LOCATION_CAPTION_10_03,VF_DATE_CAPTION_10_01,VF_DATE_CAPTION_10_02,VF_DATE_CAPTION_10_03,VF_MISSION_NAME_10,VF_OP_NAME_10
