0,acekill0,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT0_KILLED,hud_icon_intel_mostwanted_acepilot0
1,acekill1,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT1_KILLED,hud_icon_intel_mostwanted_acepilot1
2,acekill2,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT2_KILLED,hud_icon_intel_mostwanted_acepilot2
3,acekill3,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT3_KILLED,hud_icon_intel_mostwanted_acepilot3
4,acekill4,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT4_KILLED,hud_icon_intel_mostwanted_acepilot4
5,acekill5,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT5_KILLED,hud_icon_intel_mostwanted_acepilot5
6,acekill6,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT6_KILLED,hud_icon_intel_mostwanted_acepilot6
7,acekill7,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT7_KILLED,hud_icon_intel_mostwanted_acepilot7
8,acekill8,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT8_KILLED,hud_icon_intel_mostwanted_acepilot8
9,acekill9,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT9_KILLED,hud_icon_intel_mostwanted_acepilot9
10,acekill10,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT10_KILLED,hud_icon_intel_mostwanted_acepilot10
11,acekill11,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT11_KILLED,hud_icon_intel_mostwanted_acepilot11
12,acekill12,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT12_KILLED,hud_icon_intel_mostwanted_acepilot12
13,acekill13,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT13_KILLED,hud_icon_intel_mostwanted_acepilot13
14,acekill14,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT14_KILLED,hud_icon_intel_mostwanted_acepilot14
15,acekill15,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT15_KILLED,hud_icon_intel_mostwanted_acepilot15
16,acekill16,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT16_KILLED,hud_icon_intel_mostwanted_acepilot16
17,acekill17,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT17_KILLED,hud_icon_intel_mostwanted_acepilot17
18,acekill18,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT18_KILLED,hud_icon_intel_mostwanted_acepilot18
19,acekill19,MOSTWANTED_TARGET_KILLED,MOSTWANTED_ACEPILOT19_KILLED,hud_icon_intel_mostwanted_acepilot19
20,capops,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_capops
21,tally,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_tally
22,jackal,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_jackal
23,wanted,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_sdf1
24,news,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_news
25,energy,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_eweapon
26,newscan,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_newscan
27,captainkill0,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN0_KILLED,hud_icon_intel_mostwanted_captain0
28,captainkill1,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN1_KILLED,hud_icon_intel_mostwanted_captain1
29,captainkill2,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN2_KILLED,hud_icon_intel_mostwanted_captain2
30,captainkill3,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN3_KILLED,hud_icon_intel_mostwanted_captain3
31,captainkill4,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN4_KILLED,hud_icon_intel_mostwanted_captain4
32,captainkill5,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN5_KILLED,hud_icon_intel_mostwanted_captain5
33,captainkill6,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN6_KILLED,hud_icon_intel_mostwanted_captain6
34,captainkill7,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN7_KILLED,hud_icon_intel_mostwanted_captain7
35,captainkill8,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN8_KILLED,hud_icon_intel_mostwanted_captain8
36,captainkill9,MOSTWANTED_TARGET_KILLED,MOSTWANTED_CAPTAIN9_KILLED,hud_icon_intel_mostwanted_captain9
37,scraplevel,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_scrap
38,reticle,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_reticle
39,attachment,FLUFF_MESSAGES_CAPOPS,FLUFF_MESSAGES_CAPOPS_BODY,hud_icon_intel_attachment
