0,MOSTWANTED_PILOT0_RANK,MOSTWANTED_PILOT0_NAME,most_wanted_captain0,38,Mars,SDF Navy,MOSTWANTED_PILOT0_VESSEL,All Declined,MOSTWANTED_PILOT0_BIO,acepilot0,,,,,MOSTWANTED_PILOT0_BIO,MOSTWANTED_UNKNOWN
1,MOSTWANTED_PILOT1_RANK,MOSTWANTED_PILOT1_NAME,most_wanted_captain0,50,Mars,SDF Navy,MOSTWANTED_PILOT1_VESSEL,Distinguished Service of the Red Navy,MOSTWANTED_PILOT1_BIO,acepilot1,,,,,MOSTWANTED_PILOT1_BIO,MOSTWANTED_UNKNOWN
2,MOSTWANTED_PILOT2_RANK,MOSTWANTED_PILOT2_NAME,most_wanted_captain0,48,Mars,SDF Navy,MOSTWANTED_PILOT2_VESSEL,Frontier War Medal,MOSTWANTED_PILOT2_BIO,acepilot2,,,,,MOSTWANTED_PILOT2_BIO,MOSTWANTED_UNKNOWN
3,MOSTWANTED_PILOT3_RANK,MOSTWANTED_PILOT3_NAME,most_wanted_captain0,40,Mars,SDF Navy,MOSTWANTED_PILOT3_VESSEL,,MOSTWANTED_PILOT3_BIO,acepilot3,,,,,MOSTWANTED_PILOT3_BIO,MOSTWANTED_UNKNOWN
4,MOSTWANTED_PILOT4_RANK,MOSTWANTED_PILOT4_NAME,most_wanted_captain0,36,Mars,SDF Navy,MOSTWANTED_PILOT4_VESSEL,Crimson Service Order,MOSTWANTED_PILOT4_BIO,acepilot4,,,,,MOSTWANTED_PILOT4_BIO,MOSTWANTED_UNKNOWN
5,MOSTWANTED_PILOT5_RANK,MOSTWANTED_PILOT5_NAME,most_wanted_captain0,38,Mars,SDF Navy,MOSTWANTED_PILOT5_VESSEL,All Declined,MOSTWANTED_PILOT5_BIO,acepilot5,,,,,MOSTWANTED_PILOT5_BIO,MOSTWANTED_UNKNOWN
6,MOSTWANTED_PILOT6_RANK,MOSTWANTED_PILOT6_NAME,most_wanted_captain0,50,Mars,SDF Navy,MOSTWANTED_PILOT6_VESSEL,Distinguished Service of the Red Navy,MOSTWANTED_PILOT6_BIO,acepilot6,,,,,MOSTWANTED_PILOT6_BIO,MOSTWANTED_UNKNOWN
7,MOSTWANTED_PILOT7_RANK,MOSTWANTED_PILOT7_NAME,most_wanted_captain0,48,Mars,SDF Navy,MOSTWANTED_PILOT7_VESSEL,Frontier War Medal,MOSTWANTED_PILOT7_BIO,acepilot7,,,,,MOSTWANTED_PILOT7_BIO,MOSTWANTED_UNKNOWN
8,MOSTWANTED_PILOT8_RANK,MOSTWANTED_PILOT8_NAME,most_wanted_captain0,40,Mars,SDF Navy,MOSTWANTED_PILOT8_VESSEL,,MOSTWANTED_PILOT8_BIO,acepilot8,,,,,MOSTWANTED_PILOT8_BIO,MOSTWANTED_UNKNOWN
9,MOSTWANTED_PILOT9_RANK,MOSTWANTED_PILOT9_NAME,most_wanted_captain0,36,Mars,SDF Navy,MOSTWANTED_PILOT9_VESSEL,Crimson Service Order,MOSTWANTED_PILOT9_BIO,acepilot9,,,,,MOSTWANTED_PILOT9_BIO,MOSTWANTED_UNKNOWN
10,MOSTWANTED_PILOT10_RANK,MOSTWANTED_PILOT10_NAME,most_wanted_captain0,38,Mars,SDF Navy,MOSTWANTED_PILOT10_VESSEL,All Declined,MOSTWANTED_PILOT10_BIO,acepilot10,,,,,MOSTWANTED_PILOT10_BIO,MOSTWANTED_UNKNOWN
11,MOSTWANTED_PILOT11_RANK,MOSTWANTED_PILOT11_NAME,most_wanted_captain0,50,Mars,SDF Navy,MOSTWANTED_PILOT11_VESSEL,Distinguished Service of the Red Navy,MOSTWANTED_PILOT11_BIO,acepilot11,,,,,MOSTWANTED_PILOT11_BIO,MOSTWANTED_UNKNOWN
12,MOSTWANTED_PILOT12_RANK,MOSTWANTED_PILOT12_NAME,most_wanted_captain0,48,Mars,SDF Navy,MOSTWANTED_PILOT12_VESSEL,Frontier War Medal,MOSTWANTED_PILOT12_BIO,acepilot12,,,,,MOSTWANTED_PILOT12_BIO,MOSTWANTED_UNKNOWN
13,MOSTWANTED_PILOT13_RANK,MOSTWANTED_PILOT13_NAME,most_wanted_captain0,40,Mars,SDF Navy,MOSTWANTED_PILOT13_VESSEL,,MOSTWANTED_PILOT13_BIO,acepilot13,,,,,MOSTWANTED_PILOT13_BIO,MOSTWANTED_UNKNOWN
14,MOSTWANTED_PILOT14_RANK,MOSTWANTED_PILOT14_NAME,most_wanted_captain0,36,Mars,SDF Navy,MOSTWANTED_PILOT14_VESSEL,Crimson Service Order,MOSTWANTED_PILOT14_BIO,acepilot14,,,,,MOSTWANTED_PILOT14_BIO,MOSTWANTED_UNKNOWN
15,MOSTWANTED_PILOT15_RANK,MOSTWANTED_PILOT15_NAME,most_wanted_captain0,38,Mars,SDF Navy,MOSTWANTED_PILOT15_VESSEL,All Declined,MOSTWANTED_PILOT15_BIO,acepilot15,,,,,MOSTWANTED_PILOT15_BIO,MOSTWANTED_UNKNOWN
16,MOSTWANTED_PILOT16_RANK,MOSTWANTED_PILOT16_NAME,most_wanted_captain0,50,Mars,SDF Navy,MOSTWANTED_PILOT16_VESSEL,Distinguished Service of the Red Navy,MOSTWANTED_PILOT16_BIO,acepilot16,,,,,MOSTWANTED_PILOT16_BIO,MOSTWANTED_UNKNOWN
17,MOSTWANTED_PILOT17_RANK,MOSTWANTED_PILOT17_NAME,most_wanted_captain0,48,Mars,SDF Navy,MOSTWANTED_PILOT17_VESSEL,Frontier War Medal,MOSTWANTED_PILOT17_BIO,acepilot17,,,,,MOSTWANTED_PILOT17_BIO,MOSTWANTED_UNKNOWN
18,MOSTWANTED_PILOT18_RANK,MOSTWANTED_PILOT18_NAME,most_wanted_captain0,40,Mars,SDF Navy,MOSTWANTED_PILOT18_VESSEL,,MOSTWANTED_PILOT18_BIO,acepilot18,,,,,MOSTWANTED_PILOT18_BIO,MOSTWANTED_UNKNOWN
19,MOSTWANTED_PILOT19_RANK,MOSTWANTED_PILOT19_NAME,most_wanted_captain0,36,Mars,SDF Navy,MOSTWANTED_PILOT19_VESSEL,Crimson Service Order,MOSTWANTED_PILOT19_BIO,acepilot19,,,,,MOSTWANTED_PILOT19_BIO,MOSTWANTED_UNKNOWN
20,MOSTWANTED_CAPTAIN0_RANK,MOSTWANTED_CAPTAIN0_NAME,most_wanted_captain0,50,Earth,SDF Army,MOSTWANTED_CAPTAIN0_VESSEL,Crimson Service Order,MOSTWANTED_CAPTAIN0_BIO,captain0,,,,,MOSTWANTED_CAPTAIN0_BIO,MOSTWANTED_UNKNOWN
