0,europa,MENU_SP_EUROPA_TITLE,0,MENU_SP_EUROPA_DESC,frontend_europa,0
1,phparade,MENU_SP_PHPARADE_TITLE,0,MENU_SP_PHPARADE_DESC,frontend_phparade,1
2,phstreets,MENU_SP_PHSTREETS_TITLE,0,MENU_SP_PHSTREETS_DESC,frontend_phstreets,2
3,phspace,MENU_SP_PHSPACE_TITLE,0,MENU_SP_PHSPACE_DESC,frontend_phspace,3
4,shipcrib_moon,MENU_SP_SHIPCRIB_MOON_TITLE,1,MENU_SP_SHIPCRIB_MOON_DESC,frontend_shipcrib_moon,4
5,moon_port,MENU_SP_MOON_PORT_TITLE,0,MENU_SP_MOON_PORT_DESC,frontend_moon_port,5
6,moonjackal,MENU_SP_MOONJACKAL_TITLE,0,MENU_SP_MOONJACKAL_DESC,frontend_moonjackal,6
7,sa_moon,MENU_SP_SA_MOON_TITLE,0,MENU_SP_SA_MOON_DESC,frontend_sa_moon,7
8,shipcrib_europa,MENU_SP_SHIPCRIB_EUROPA_TITLE,1,MENU_SP_SHIPCRIB_EUROPA_DESC,frontend_shipcrib_europa,8
9,sa_vips,MENU_SP_SA_VIPS_TITLE,0,MENU_SP_SA_VIPS_DESC,frontend_sa_vips,25
10,sa_empambush,MENU_SP_SA_EMPAMBUSH_TITLE,0,MENU_SP_SA_EMPAMBUSH_DESC,frontend_sa_empambush,24
11,sa_wounded,MENU_SP_SA_WOUNDED_TITLE,0,MENU_SP_SA_WOUNDED_DESC,frontend_sa_wounded,26
12,sa_assassination,MENU_SP_SA_ASSASSINATION_TITLE,0,MENU_SP_SA_ASSASSINATION_DESC,frontend_sa_assassination,23
13,shipcrib_titan,MENU_SP_SHIPCRIB_TITAN_TITLE,1,MENU_SP_SHIPCRIB_TITAN_DESC,frontend_shipcrib_titan,9
14,titan,MENU_SP_TITAN_TITLE,0,MENU_SP_TITAN_DESC,frontend_titan,10
15,titanjackal,MENU_SP_TITANJACKAL_TITLE,0,MENU_SP_TITANJACKAL_DESC,frontend_titanjackal,11
16,ja_spacestation,MENU_SP_JA_SPACESTATION_TITLE,0,MENU_SP_JA_SPACESTATION_DESC,frontend_ja_spacestation,29
17,ja_asteroid,MENU_SP_JA_ASTERIOD_TITLE,0,MENU_SP_JA_ASTERIOD_DESC,frontend_ja_asteroid,27
18,ja_wreckage,MENU_SP_JA_WRECKAGE_TITLE,0,MENU_SP_JA_WRECKAGE_DESC,frontend_ja_wreckage,31
19,shipcrib_rogue,MENU_SP_SHIPCRIB_ROUGE_TITLE,1,MENU_SP_SHIPCRIB_ROUGE_DESC,frontend_shipcrib_rogue,12
20,ja_titan,MENU_SP_JA_TITAN_TITLE,0,MENU_SP_JA_TITAN_DESC,frontend_ja_titan,30
21,rogue,MENU_SP_ROUGE_TITLE,0,MENU_SP_ROUGE_DESC,frontend_rogue,13
22,shipcrib_prisoner,MENU_SP_SHIPCRIB_PRISONER_TITLE,1,MENU_SP_SHIPCRIB_PRISONER_DESC,frontend_shipcrib_prisoner,14
23,ja_mining,MENU_SP_JA_MINING_TITLE,0,MENU_SP_JA_MINING_DESC,frontend_ja_mining,28
24,prisoner,MENU_SP_PRISONER_TITLE,0,MENU_SP_PRISONER_DESC,frontend_prisoner,15
25,heist,MENU_SP_HEIST_TITLE,0,MENU_SP_HEIST_DESC,frontend_heist,16
26,heistspace,MENU_SP_HEISTSPACE_TITLE,0,MENU_SP_HEISTSPACE_DESC,frontend_heistspace,17
27,marscrash,MENU_SP_MARSCRASH_TITLE,0,MENU_SP_MARSCRASH_DESC,frontend_marscrash,18
28,marscrib,MENU_SP_MARSCRIB_TITLE,1,MENU_SP_MARSCRIB_DESC,frontend_marscrib,19
29,marsbase,MENU_SP_MARSBASE_TITLE,0,MENU_SP_MARSBASE_DESC,frontend_marsbase,20
30,yard,MENU_SP_YARD_TITLE,0,MENU_SP_YARD_DESC,frontend_yard,21
