0,iw7_ake_zml,wall upgrade,Mars 2,
1,iw7_ar57_zm,magic upgrade,Rocket Trap,iw7_ar57_zm
2,iw7_crb_zml,wall upgrade,Moon 2,
3,iw7_emc_zm,magic upgrade,Magic Wheel,
4,iw7_erad_zm,wall upgrade,Center Area,iw7_erad_zm
5,iw7_fmg_zm,magic upgrade,Europa 2,
6,iw7_g18_zmr,upgrade,Arcade 1,
7,iw7_kbs_zm,magic upgrade,Mars 1,iw7_kbs_zm
8,iw7_m1_zm,magic upgrade,Starting Area,
9,iw7_m4_zm,wall upgrade,Arcade 1,
10,iw7_m8_zm,magic upgrade,Magic Wheel,iw7_m8_zm
11,iw7_ripper_zmr,wall upgrade,Mars 2,iw7_ripper_zmr
12,iw7_sonic_zmr,wall upgrade,Starting Area,
13,iw7_spas_zmr,magic upgrade,Moon 1,
14,iw7_ump45_zml,wall upgrade,Stage,
15,iw7_axe_zm,magic upgrade,Magic Wheel,
16,iw7_lmg03_zm,magic upgrade,Magic Wheel,
17,iw7_chargeshot_zm,magic upgrade,Magic Wheel,
18,iw7_cheytac_zmr,magic upgrade,Magic Wheel,iw7_cheytac_zm
19,iw7_devastator_zm,magic upgrade,Magic Wheel,
20,iw7_fhr_zm,magic upgrade,Magic Wheel,
21,iw7_forgefreeze_zm,tickets upgrade,Magic Wheel,
22,iw7_glprox_zm,magic upgrade,Magic Wheel,
23,iw7_mauler_zm,magic upgrade,Magic Wheel,
24,iw7_nrg_zm,wall upgrade,Magic Wheel,
25,iw7_revolver_zm,wall upgrade,Magic Wheel,
26,iw7_sdfshotty_zm,magic upgrade,Magic Wheel,
27,iw7_dischord_zm,upgrade,,
28,iw7_facemelter_zm,upgrade,,
29,iw7_headcutter_zm,upgrade,,
30,iw7_shredder_zm,upgrade,,
31,iw7_sdflmg_zm,magic upgrade,,
32,iw7_sdfar_zm,magic upgrade,,
33,iw7_lockon_zm,magic upgrade,Magic Wheel,
34,iw7_m1c_zm,wall upgrade,,
35,iw7_g18c_zm,magic upgrade,,
36,iw7_ump45c_zm,magic upgrade,,
37,iw7_spasc_zm,magic upgrade,,
38,iw7_arclassic_zm,magic upgrade,,
39,iw7_cheytacc_zm,magic upgrade,,
40,iw7_udm45_zm,magic upgrade,,
41,iw7_rvn_zm,magic upgrade,,
42,iw7_crdb_zm,magic upgrade,,
43,iw7_vr_zm,magic upgrade,,
44,iw7_minilmg_zm,magic upgrade,,
45,iw7_mp28_zm,magic upgrade,,
46,iw7_mod2187_zm,magic upgrade,,
47,iw7_ba50cal_zm,magic upgrade,,
48,iw7_longshot_zm,magic upgrade,,iw7_longshot_zm
49,iw7_mag_zm,magic upgrade,,
50,iw7_gauss_zm,magic upgrade,,
51,iw7_tacburst_zm,magic upgrade,,
52,iw7_unsalmg_zm,magic upgrade,,
