0,mt_explosive_kills
1,mt_fire_kills
2,mt_magic_weapon_kills
3,mt_melee_kills
4,mt_purchased_weapon
5,mt_revives
6,mt_trap_kills
7,mt_upgrade_weapons
8,mt_used_crafting
9,mt_zombie_kills
10,mt_ar_kills
11,mt_smg_kills
12,mt_lmg_kills
13,mt_sniper_kills
14,mt_shotgun_kills
15,mt_pistol_kills
16,mt_rebuild_barriers
17,mt_purchase_perks
18,mt_purchase_doors
19,mt_headshot_kills
20,mt_crawler_kills
21,mt_turned_zombies
22,mt_sliding_kills
23,mt_quest_weapon_kills
24,mt_powerup_grabs
25,mt_faf_uses
26,mt_faf_shock_melee_kills
27,mt_faf_burned_out_kills
28,mt_highest_round
29,mt_total_rounds
30,mt_faf_refill_deck
31,mt_all_completed
32,mt_prestige_1
33,mt_prestige_2
34,mt_prestige_3
35,mt_prestige_4
36,mt_prestige_5
37,mt_prestige_6
38,mt_prestige_7
39,mt_prestige_8
40,mt_prestige_9
41,mt_prestige_10
42,mt_prestige_max
43,mt_dlc1_kills_in_rave
44,mt_dlc1_all_ziplines
45,mt_dlc1_charms_added
46,mt_dlc1_harpoon_kills
47,mt_dlc1_golf_kills
48,mt_dlc1_bat_kills
49,mt_dlc1_machete_kills
50,mt_dlc1_axe_kills
51,mt_dlc1_lawnmower_kills
52,mt_dlc1_sasquatch_kills
53,mt_dlc1_challenge_badge
54,mt_dlc1_card_max
55,mt_udm_unlock
56,mt_rvn_unlock
57,mt_crdb_unlock
58,mt_vr_unlock
59,mt_mp28_unlock
60,mt_minilmg_unlock
61,mt_dlc2_pap2_katana
62,mt_dlc2_pap2_nunchucks
63,mt_dlc2_trap_kills
64,mt_dlc2_dragon_kills
65,mt_dlc2_crane_kills
66,mt_dlc2_snake_kills
67,mt_dlc2_tiger_kills
68,mt_dlc2_heart_kills
69,mt_dlc2_roller_skaters
70,mt_dlc2_rat_king
71,mt_dlc2_chi_master
72,mt_dlc2_upgrade_weapons
73,mt_dlc2_card_max
74,mt_dlc2_troll
75,mt_dlc3_mad_kills
76,mt_dlc3_cleaver_kills
77,mt_dlc3_crowbar_kills
79,mt_dlc3_crab_mini
80,mt_dlc3_crab_brute
81,mt_dlc3_elvira_summon
82,mt_dlc3_upgrade_weapons
83,mt_dlc3_crafted_kills
84,mt_dlc3_change_chew
85,mt_dlc3_traps_fixed
86,mt_dlc3_boss_killed
87,mt_dlc3_eggs_killed
88,mt_dlc3_card_max
89,mt_dlc3_troll
90,mt_ba50cal_unlock
91,mt_mod2187_unlock
92,mt_longshot_unlock
93,mt_dlc3_troll2
94,mt_gauss_unlock
95,mt_mag_unlock
96,mt_unsalmg_unlock
97,mt_tacburst_unlock
98,mt_dlc4_venomx_kills
99,mt_dlc4_entangler_kills
100,mt_dlc4_goon_kills
101,mt_dlc4_phantom_kills
102,mt_dlc4_rhino_kills
103,mt_dlc4_upgrade_weapons
104,mt_dlc4_trap_kills
105,mt_dlc4_neil_upgrade
106,mt_dlc4_special_wave_kills
107,mt_dlc4_hack_neil
108,mt_dlc4_all_doors
109,mt_dlc4_theater_open
110,mt_dlc4_card_max
111,mt_dlc4_troll
112,mt_dlc4_troll2
113,mt_dc_1
114,mt_dc_2
115,mt_dc_3
116,mt_dc_4
117,mt_dc_5
118,mt_tali_1
119,mt_tali_2
120,mt_tali_3
121,mt_tali_4
122,mt_tali_5
