allow_server_pause,1,,g,b,1,,,,
zm_ui_player_in_afterlife_arcade,1,,c,b,0,,,,
zm_ui_player_playing_ghost_arcade,1,,c,b,0,,,,
zm_ui_show_ghost_arcade_scores,1,,c,i,-1,-1,2,,
zm_ui_ghost_arcade_message,1,,c,i,0,0,10,,
zm_ui_num_targets_escaped,1,,c,i,0,0,9999,,
zm_ui_player_in_laststand,1,,c,b,0,,,,
zm_ui_laststand_end_milliseconds,1,,c,t,0,,,,
zm_ui_specialammo,1,,c,i,-1,-1,5,,
zm_ui_is_solo,1,,g,b,0,,,,
zm_ui_timer,1,,g,t,0,0,,,
zm_ui_show_encounter_score,1,,g,b,0,,,,
allow_write_leaderboards,1,,c,b,1,,,,
zm_fate_card_used,1,,c,i,-1,-1,999999,,
zm_ui_show_eog_score,1,,c,b,0,,,,This only appears in script currently, leaving in for future hook up (coop_endgame.gsc)
zm_ui_unlimited_ammo,1,,c,b,0,,,,
player_damaged,1,,c,a,0,0,2,,
ui_custom_reticle_state,1,,c,i,-1,-1,4,,This is used for the NX2, It's not currently hooked up and may be removed
ui_intel_active_index,1,,c,i,0,-1,1337,,
ui_intel_challenge_scalar,1,,c,i,0,-1,1000,,
ui_intel_prechallenge,1,,c,i,0,0,1,,
ui_intel_target_player,1,,c,i,-1,-1,20,,
ui_intel_progress_current,1,,c,i,-1,-1,99999,,
ui_intel_progress_max,1,,c,i,-1,-1,99999,,
ui_intel_percent,1,,c,i,-1,-1,99999,,
ui_intel_title,1,,c,i,0,-1,2,,
ui_intel_timer,1,,c,i,0,-1,99999999,,
ui_power_recharge,1,1,c,i,0,-1,1000,,
ui_power_secondary_recharge,1,1,c,i,0,-1,1000,,
ui_power_num_charges,1,1,c,i,0,-1,1000,,
ui_power_secondary_num_charges,1,1,c,i,0,-1,1000,,
ui_power_id,1,1,c,i,0,-1,1000,,
ui_power_id_secondary,1,,c,i,0,-1,1000,,
ui_power_consume,1,1,c,b,0,,,,
ui_power_secondary_consume,1,1,c,b,0,,,,
ui_power_max_charges,1,1,c,i,0,-1,1000,,
ui_power_secondary_max_charges,1,1,c,i,0,-1,1000,,
ui_merit_splash_idx,1,,c,i,-1,-1,2046,,
ui_merit_splash_optional_number,,,c,i,0,0,65535,,# will be sent as a short
ui_damage_amount,1,,c,i,0,0,1000000000,,
damage_scale_type,1,1,c,s,none,,,,
retry_popup,1,,c,i,0,0,1,,
cp_media_demo_omnvar,1,,g,i,0,0,1,,
ui_alien_c6_timer,1,,g,t,0,0,,,Not currently used, but perhaps could be for N31L
ui_refresh_hud,1,,c,i,0,0,1,,
ui_last_shots_clip_size,1,,c,i,-1,-1,254,,Used in weapon passives, not currently used in CP
zombie_wave_number,1,,c,i,0,0,9999,,
ui_show_beam_heatbar,1,,c,i,-1,-1,1,,Not used in CP, currently in a common init
zombie_arcade_game_ticket_earned,1,,c,i,0,0,1000000000,,
zombie_number_of_ticket,1,,c,i,0,0,1000000000,,
zombie_souvenir_piece_index,1,,c,i,0,0,1000000000,f,
zombie_arcade_game_shot_remaining,1,,c,i,0,0,1000000000,,
zombie_arcade_game_time,1,,c,i,-1,-1,1000000000,,
zombie_bball_game_1_time,1,,g,i,0,-1,25,,
zombie_bball_game_2_time,1,,g,i,0,-1,25,,
zombie_bball_game_3_time,1,,g,i,0,-1,25,,
