used_deployable_ammo,ALIEN_SPLASHES_USED_AMMO,ALIEN_SPLASHES_USED_AMMO,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_vest,ALIEN_SPLASHES_USED_ARMOR,ALIEN_SPLASHES_USED_ARMOR,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_ap_ammo,ALIEN_SPLASHES_USED_AP_AMMO,ALIEN_SPLASHES_USED_AP_AMMO,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_stun_ammo,ALIEN_SPLASHES_USED_STUN_AMMO,ALIEN_SPLASHES_USED_STUN_AMMO,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_exp_ammo,ALIEN_SPLASHES_USED_EXP_AMMO,ALIEN_SPLASHES_USED_EXP_AMMO,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_in_ammo,ALIEN_SPLASHES_USED_IN_AMMO,ALIEN_SPLASHES_USED_IN_AMMO,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_explosives,ALIEN_SPLASHES_USED_EXPLOSIVES,ALIEN_SPLASHES_USED_EXPLOSIVES,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_deployable_juicebox,ALIEN_SPLASHES_USED_BOOST,ALIEN_SPLASHES_USED_BOOST,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_sentry,ALIEN_SPLASHES_SENTRY,ALIEN_SPLASHES_SENTRY,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_minigun_turret,ALIEN_SPLASHES_USED_MINIGUN_TURRET,ALIEN_SPLASHES_USED_MINIGUN_TURRET,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_gl_turret,ALIEN_SPLASHES_USED_GL_TURRET,ALIEN_SPLASHES_USED_GL_TURRET,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
used_remote_mortar,ALIEN_SPLASHES_USED_REMOTE_MORTAR,ALIEN_SPLASHES_USED_REMOTE_MORTAR,,4,1,1,1,1,mp_splash_screen_default,,playercard_splash
