slide_cooldown_period_ms,1000,1200,1000,1200,1200,1000,1000,,#1200
slide_cover_dist,400,270,800,270,270,400,400,,#270
slide_cover_forward_scale,2.1,1.7,1.9,1.7,1.7,2.1,1.9,,#1.7
slide_friction_duration_ms,275,275,275,275,275,275,275,,#275
slide_min_required_velocity,150,150,150,150,150,150,150,,#150
slide_no_cover_dist,375,250,775,250,250,375,375,,#250
slide_no_cover_forward_scale,2,1.6,1.8,1.6,1.6,2,2,,#1.6
slide_shoot_grace_time_ms,150,150,250,150,150,150,150,,#150
slide_sprint_penalty_ms,1500,1500,1500,1500,1500,1500,1500,,#1500
slide_to_sprint_friction_time_scale,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,#0.9
slide_initial_acceleration,800,800,1000,800,800,800,800,,#800
slide_end_acceleration,600,600,800,600,600,600,600,,#600
slide_acceleration,200,300,600,300,300,200,200,,#300
slide_friction,4,4,4,4,4,4,4,,#4
slide_allow_left_and_right,0,0,1,0,0,0,0,,#0
slide_max_yaw,60,60,360,60,60,60,60,,#60
slide_allow_firing,0,0,1,0,0,0,0,,#0
slide_disable_cover_check,1,0,1,1,1,1,1,,#0
