none,MPUI_NONE,,unlock,default_cosmetic_attach_icon,,0,,
cos_001,LUA_MENU_MP_COSM_CHEMLIGHT,,loot,icon_cosmetic_chemlight,loot,1,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_002,LUA_MENU_MP_COSM_SANDWICH,,loot,icon_cosmetic_sandwich,loot,2,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_003,LUA_MENU_MP_COSM_MAMAS,,loot,icon_cosmetic_bodily,loot,3,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_004,LUA_MENU_MP_COSM_BURGERTOWN,,loot,icon_cosmetic_burgertown,loot,4,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_005,LUA_MENU_MP_COSM_COBRA,,loot,icon_cosmetic_cobra,loot,5,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_006,LUA_MENU_MP_COSM_DEMON_SKULL,,unlock,icon_cosmetic_demon_skull,mp,103,,
cos_007,LUA_MENU_MP_COSM_DOA,,unlock,icon_cosmetic_doa,mp,102,,
cos_008,LUA_MENU_MP_COSM_FOSSIL,,loot,icon_cosmetic_fossil,loot,8,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_009,LUA_MENU_MP_COSM_IW,,loot,icon_cosmetic_infinity_ward,loot,9,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_010,LUA_MENU_MP_COSM_NEVERSOFT,,loot,icon_cosmetic_neversoft,loot,10,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_011,LUA_MENU_MP_COSM_CARE_PACKAGE,,loot,icon_cosmetic_care_package,loot,11,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_012,LUA_MENU_MP_COSM_PEACE_KEEPER,,loot,icon_cosmetic_peace_keeper,loot,12,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_013,LUA_MENU_MP_COSM_PX,,loot,icon_cosmetic_px,loot,13,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_014,LUA_MENU_MP_COSM_RAVEN,,loot,icon_cosmetic_raven,loot,14,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_015,LUA_MENU_MP_COSM_SABER_SEVEN,,loot,icon_cosmetic_saber_seven,missionTeam,3,MP_FRONTEND_ONLY_UNLOCKED_VIA_MISSION_TEAMS,
cos_016,LUA_MENU_MP_COSM_STAT_DISPLAY,,hide,icon_cosmetic_state_display,loot,16,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_017,LUA_MENU_MP_COSM_AUAV,,loot,icon_cosmetic_advanced_uav,loot,17,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_018,LUA_MENU_MP_COSM_CUAV,,loot,icon_cosmetic_counter_uav,loot,18,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_019,LUA_MENU_MP_COSM_SHOCK_SENTRY,,loot,icon_cosmetic_shock_sentry,loot,19,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_020,LUA_MENU_MP_COSM_RC8,,loot,icon_cosmetic_rc8,loot,20,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
cos_021,LUA_MENU_MP_COSM_UAV,,loot,icon_cosmetic_uav,loot,21,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP,
