gesture009,ges_plyr_gesture009,MP_FRONTEND_ONLY_GESTURE009,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_salute,0,allRigs,,0,,loot,icon_gesture_salute,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture000,ges_plyr_gesture000,MP_FRONTEND_ONLY_GESTURE000,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_thumbsup,0,allRigs,,1,,loot,icon_gesture_thumbsup,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture001,ges_plyr_gesture001,MP_FRONTEND_ONLY_GESTURE001,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_noyoudidnt,0,allRigs,,2,,loot,icon_gesture_noyoudidnt,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture002,ges_plyr_gesture002,MP_FRONTEND_ONLY_GESTURE002,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_headcrush,0,allRigs,,3,,loot,icon_gesture_headcrush,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture003,ges_plyr_gesture003,MP_FRONTEND_ONLY_GESTURE003,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_watchingyou,0,allRigs,,4,,loot,icon_gesture_watchingyou,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture004,ges_plyr_gesture004,MP_FRONTEND_ONLY_GESTURE004,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_comeatme,0,allRigs,,5,,loot,icon_gesture_comeatme,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture005,ges_plyr_gesture005,MP_FRONTEND_ONLY_GESTURE005,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_fistpump,0,allRigs,,6,,loot,icon_gesture_fistpump,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture040,ges_plyr_gesture040,MP_FRONTEND_ONLY_GESTURE040,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_flick,0,allRigs,,7,,loot,icon_gesture_flick,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture007,ges_plyr_gesture007,MP_FRONTEND_ONLY_GESTURE007,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_praise,0,allRigs,,8,,loot,icon_gesture_praise,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
gesture008,ges_plyr_gesture008,MP_FRONTEND_ONLY_GESTURE008,LUA_MENU_MP_GESTURE_PH_DESC,icon_gesture_respect,0,allRigs,,9,,loot,icon_gesture_respect,LUA_MENU_MP_RIG_SUPPLY_DROP_UNLOCK_DESC
