botPersonalities,default|run_and_gun,default|run_and_gun,default|run_and_gun,default|run_and_gun,cqb,cqb,cqb,cqb,camper,camper,camper,camper
botDifficulties,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran
botArchetype,assault|scout|heavy|engineer,assault|scout|heavy|engineer,assault|scout|heavy|engineer,assault|scout|heavy|engineer,assault|scout|assassin|heavy|engineer,assault|scout|assassin|heavy|engineer,assault|scout|assassin|heavy|engineer,assault|scout|assassin|heavy|engineer,assassin|heavy|sniper,assassin|heavy|sniper,assassin|heavy|sniper,assassin|heavy|sniper
loadoutPrimary,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable
loadoutPrimaryAttachment,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutPrimaryAttachment2,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutPrimaryBuff,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPrimaryCamo,none,none,camotable,camotable,none,none,camotable,camotable,none,none,camotable,camotable
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondary,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable
loadoutSecondaryAttachment,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutSecondaryAttachment2,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutSecondaryBuff,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPowerPrimary,power_clusterGrenade,power_explodingDrone,power_wristRocket,power_spiderGrenade,power_splitGrenade,power_tripMine,power_bioSpike,power_blackholeGrenade,power_spiderGrenade,power_splitGrenade,power_c4,power_spiderGrenade
loadoutPowerSecondary,power_blackoutGrenade,power_cryoMine,power_blackoutGrenade,power_domeshield,power_smokeGrenade,power_trophy,power_smokeGrenade,power_blackoutGrenade,power_trophy,power_blackoutGrenade,power_smokeGrenade,power_blackoutGrenade
loadoutStreakType,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_assault,streaktype_support,streaktype_support
loadoutStreak1,uav,uav,uav,uav,uav,uav,uav,uav,uav,uav,uav,uav
loadoutStreak2,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup,ball_drone_backup
