0,0,-1,152,252,,#02/21/17,,#TIMESTAMP = 1487700000,
1,1,-1,153,253,,#02/28/17,,,
2,2,-1,154,254,,#03/07/17,,,
3,3,-1,155,255,,#03/14/17,,,
4,0,-1,156,256,,#03/21/17,,,
5,1,-1,157,257,,#03/28/17,,,
6,2,-1,158,258,,#04/04/17,,,
7,0,-1,100,200,,#04/11/17,#1,#FIRST LIVE WEEK,
8,1,-1,101,201,,#04/18/17,#2,#Easter - 4/16,#
9,2,-1,102,202,,#04/25/17,#3,,
10,3,-1,103,203,,#05/02/17,#4,,
11,2,-1,104,204,,#05/09/17,#5,#Mother's Day - 5/14,
12,1,-1,105,205,,#05/16/17,#6,,#
13,0,-1,106,206,,#05/23/17,#7,#Memorial Day - 5/29,
14,3,-1,107,207,,#05/30/17,#8,,
15,1,-1,108,208,,#06/06/17,#9,,
16,0,-1,109,209,,#06/13/17,#10,#Father's Day - 6/18,
17,2,-1,110,210,,#06/20/17,#11,,
18,3,-1,111,211,,#06/27/17,#12,,
19,2,-1,112,212,,#07/04/17,#13,#Independence Day - 7/4,#
20,1,-1,113,213,,#07/11/17,#14,,
21,3,-1,114,214,,#07/18/17,#15,,
22,0,-1,115,215,,#07/25/17,#16,,
23,1,-1,116,216,,#08/01/17,#17,,#
24,2,-1,117,217,,#08/08/17,#18,,
25,3,-1,118,218,,#08/15/17,#19,,
26,0,-1,119,219,,#08/22/17,#20,,
27,3,-1,120,220,,#08/29/17,#21,#Labor Day - 9/4,
28,0,-1,121,221,,#09/05/17,#22,,
29,1,-1,122,222,,#09/12/17,#23,,#
30,2,-1,123,223,,#09/19/17,#24,,
31,1,-1,124,224,,#09/26/17,#25,,
32,2,-1,125,225,,#10/03/17,#26,#Colombus Day - 10/9,
33,3,-1,126,226,,#10/10/17,#27,,#
34,0,-1,127,227,,#10/17/17,#28,,
35,2,-1,128,228,,#10/24/17,#29,,#
36,0,-1,129,229,,#10/31/17,#30,#Halloween - 10/31,#
37,3,-1,130,230,,#11/07/17,#31,#Veteran's Day - 11/11,
38,1,-1,131,231,,#11/14/17,#32,,
39,3,-1,132,232,,#11/21/17,#33,#Thanksgiving - 11/23,
40,1,-1,133,233,,#11/28/17,#34,,
41,0,-1,134,234,,#12/05/17,#35,,
42,2,-1,135,235,,#12/12/17,#36,,
43,1,-1,136,236,,#12/19/17,#37,#Christmas - 12/25,
44,2,-1,137,237,,#12/26/17,#38,#New Years - 1/1,
45,0,-1,138,238,,#01/02/18,#39,,
46,3,-1,139,239,,#01/09/18,#40,#MLK Day - 1/15,
47,2,-1,140,240,,#01/16/18,#41,,
48,0,-1,141,241,,#01/23/18,#42,,
49,1,-1,142,242,,#01/30/18,#43,,
50,3,-1,143,243,,#02/06/18,#44,#Valentine's Day 1/14,
51,0,-1,144,244,,#02/13/18,#45,#President's Day 1/19,
52,3,-1,145,245,,#02/20/18,#46,,
53,1,-1,146,246,,#02/27/18,#47,,
54,2,-1,147,247,,#03/06/18,#48,,
55,1,-1,148,248,,#03/13/18,#49,,
56,2,-1,149,249,,#03/20/18,#50,,
57,0,-1,150,250,,#03/27/18,#51,,
58,3,-1,151,251,,#04/3/18,#52,,
59,0,-1,152,252,start,,,#FIRST CYCLIC WEEK,
60,1,-1,153,253,,,,,
61,2,-1,154,254,,,,,
62,3,-1,155,255,,,,,
63,0,-1,156,256,,,,,
64,1,-1,157,257,,,,,
65,2,-1,158,258,,,,,
66,3,-1,159,259,end,,,,
