four,SPLASHES_FURYKILL,SPLASHES_FURYKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
five,SPLASHES_FRENZYIKILL,SPLASHES_FRENZYKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
six,SPLASHES_SUPERKILL,SPLASHES_SUPERKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
seven,SPLASHES_MEGAKILL,SPLASHES_MEGAKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
eight,SPLASHES_ULTRAKILL,SPLASHES_ULTRAKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
chain,SPLASHES_CHAINKILL,SPLASHES_CHAINKILL_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
defender,SPLASHES_DEFENDER,SPLASHES_DEFENDER_DESC,rank_prestige1,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
proximitykill,SPLASHES_PROXIMITYKILL,SPLASHES_PROXIMITYKILL_DESC,,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
proximityassist,SPLASHES_PROXIMITYASSIST,SPLASHES_PROXIMITYASSIST_DESC,,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
killflagcarrier,SPLASHES_KILLED_FLAG_CARRIER,SPLASHES_KILLED_FLAG_CARRIER_DESC,,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
shield_assist,SPLASHES_SHIELDASSIST,SPLASHES_SHIELDASSIST_DESC,,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
time_added,SPLASHES_TIME_ADDED,SPLASHES_TIME_ADDED_DESC,,mp_splash_screen_default,splash,local,,,,,,,,,,,,,,,,,,,
earned_unlock,SPLASHES_EARNED_UNLOCK_DESC,SPLASHES_EARNED_UNLOCK_DESC,,mp_token_earned,playercard_splash,local,,,,,,,,,,,,,,,,,,,
prestige1,SPLASHES_RANKED_UP,MPUI_PRESTIGE,rank_prestige1,mp_prestige,urgent_splash,local,,,,,,,,,,,,,,,,,,,
