0,none,LUA_MENU_DEFAULT,,reticle_default,0,1,,,0,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
1,acogdef,LUA_MENU_DEFAULT,,reticle_acog_default,0,0,standard,mp,0,unlock,,
2,phasedef,LUA_MENU_DEFAULT,,reticle_phase_default,0,0,standard,mp,0,unlock,,
3,hybriddef,LUA_MENU_DEFAULT,,reticle_hybrid_default,0,0,standard,mp,0,unlock,,
4,reflexdef,LUA_MENU_DEFAULT,,reticle_reflex_default,0,0,standard,mp,0,unlock,,
5,thermaldef,LUA_MENU_DEFAULT,,reticle_thermal_default,0,0,scoped,mp,0,unlock,,
6,vzscopedef,LUA_MENU_DEFAULT,,reticle_vzscope_default,0,0,standard,mp,0,unlock,,
7,oscopedef,LUA_MENU_DEFAULT,,ui_reticle_oscope_default,0,0,standard,mp,0,unlock,,
8,ret01,MP_FRONTEND_ONLY_RET_01,,reticle_01,1,1,standard,mp,10,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
9,ret02,MP_FRONTEND_ONLY_RET_02,,reticle_02,2,1,standard,mp,1,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
10,ret03,MP_FRONTEND_ONLY_RET_03,,reticle_03,3,1,standard,mp,5,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
11,ret04,MP_FRONTEND_ONLY_RET_04,,reticle_04,4,1,standard,mp,9,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
12,ret05,MP_FRONTEND_ONLY_RET_05,,reticle_05,5,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
13,ret06,MP_FRONTEND_ONLY_RET_06,,reticle_06,6,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
14,ret07,MP_FRONTEND_ONLY_RET_07,,reticle_07,7,1,standard,mp,2,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
15,ret08,MP_FRONTEND_ONLY_RET_08,,reticle_08,8,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
16,ret09,MP_FRONTEND_ONLY_RET_09,,reticle_09,9,1,standard,loot,99,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
17,ret10,MP_FRONTEND_ONLY_RET_10,,reticle_10,10,1,standard,mp,11,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
18,ret11,MP_FRONTEND_ONLY_RET_11,,reticle_11,11,1,standard,mp,4,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
19,ret12,MP_FRONTEND_ONLY_RET_12,,reticle_12,12,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
20,ret13,MP_FRONTEND_ONLY_RET_13,,reticle_13,13,1,standard,mp,7,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
21,ret14,MP_FRONTEND_ONLY_RET_14,,reticle_14,14,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
22,ret15,MP_FRONTEND_ONLY_RET_15,,reticle_15,15,1,standard,mp,6,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
23,ret16,MP_FRONTEND_ONLY_RET_16,,reticle_16,16,1,standard,mp,8,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
24,ret17,MP_FRONTEND_ONLY_RET_17,,reticle_17,17,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
25,ret18,MP_FRONTEND_ONLY_RET_18,,reticle_18,18,1,standard,missionTeam,100,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_MISSION_TEAMS
26,ret19,MP_FRONTEND_ONLY_RET_19,,reticle_19,19,1,standard,missionTeam,101,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_MISSION_TEAMS
27,ret20,MP_FRONTEND_ONLY_RET_20,,reticle_20,20,1,standard,missionTeam,102,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_MISSION_TEAMS
28,ret21,MP_FRONTEND_ONLY_RET_21,,reticle_21,21,1,standard,missionTeam,103,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_MISSION_TEAMS
29,ret22,MP_FRONTEND_ONLY_RET_22,,reticle_22,22,1,standard,extra,99,loot,1,
30,ret23,MP_FRONTEND_ONLY_RET_23,,reticle_23,23,1,standard,extra,99,loot,1,
31,ret24,MP_FRONTEND_ONLY_RET_24,,reticle_24,24,1,standard,extra,99,loot,1,
32,ret25,MP_FRONTEND_ONLY_RET_25,,reticle_25,25,1,standard,extra,99,loot,1,
33,ret26,MP_FRONTEND_ONLY_RET_26,,reticle_26,26,1,standard,loot,99,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
34,ret27,MP_FRONTEND_ONLY_RET_27,,reticle_27,27,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
35,ret28,MP_FRONTEND_ONLY_RET_28,,reticle_28,28,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
36,ret29,MP_FRONTEND_ONLY_RET_29,,reticle_29,29,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
37,ret30,MP_FRONTEND_ONLY_RET_30,,reticle_30,30,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
38,ret31,MP_FRONTEND_ONLY_RET_31,,reticle_31,31,1,standard,loot,98,loot,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
39,ret32,MP_FRONTEND_ONLY_RET_32,,reticle_32,32,1,standard,mp,3,unlock,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
