war,LUA_MENU_MP_WAR,LUA_MENU_MP_WAR_DESC,gamemode_team_deathmatch,1,1,Standard,1,LUA_MENU_WARGAME_TEAM_DEATHMATCH,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0,1,gamemode_tdm_hardcore
front,LUA_MENU_MP_FRONTLINE,LUA_MENU_MP_FRONTLINE_DESC,gamemode_frontline,1,1,Standard,1,LUA_MENU_WARGAME_TEAM_DEATHMATCH,OBJECTIVES_FRONT_HINT,OBJECTIVES_FRONT_HINT,0,1,
dom,LUA_MENU_MP_DOMINATION,LUA_MENU_MP_DOMINATION_DESC,gamemode_domination,1,1,Standard,1,LUA_MENU_WARGAME_DOMINATION,OBJECTIVES_DOM_HINT,OBJECTIVES_DOM_HINT,0,1,gamemode_domination_hardcore
sd,LUA_MENU_MP_SD,LUA_MENU_MP_SD_DESC,gamemode_search_n_destroy,1,1,Standard,0,LUA_MENU_WARGAME_SEARCH_AND_DESTROY,OBJECTIVES_SD_ATTACKER_HINT,OBJECTIVES_SD_DEFENDER_HINT,1,1,gamemode_s_dest_hardcore
conf,LUA_MENU_MP_CONF,LUA_MENU_MP_CONF_DESC,gamemode_kill_confirmed,1,1,Standard,1,LUA_MENU_WARGAME_CONF,OBJECTIVES_CONF_HINT,OBJECTIVES_CONF_HINT,0,1,gamemode_kill_con_hardcore
dm,LUA_MENU_MP_DEATHMATCH,LUA_MENU_MP_DEATHMATCH_DESC,gamemode_free_for_all,0,1,Standard,0,LUA_MENU_WARGAME_DEATHMATCH,OBJECTIVES_DM_HINT,OBJECTIVES_DM_HINT,0,0,gamemode_ffa_hardcore
koth,LUA_MENU_MP_HARDPOINT,LUA_MENU_MP_HARDPOINT_DESC,gamemode_hardpoint,1,1,Standard,1,LUA_MENU_WARGAME_DOMINATION,OBJECTIVES_KOTH_HINT,OBJECTIVES_KOTH_HINT,1,1,
tdef,LUA_MENU_MP_TDEF,LUA_MENU_MP_TDEF_DESC,gamemode_team_defender,1,1,Standard,1,LUA_MENU_WARGAME_BLITZ,OBJECTIVES_TDEF_HINT,OBJECTIVES_TDEF_HINT,1,1,gamemode_def_hardcore
ball,LUA_MENU_MP_UPLINK,LUA_MENU_MP_UPLINK_DESC,gamemode_uplink,1,1,Standard,1,LUA_MENU_WARGAME_BLITZ,OBJECTIVES_BALL_HINT,OBJECTIVES_BALL_HINT,1,1,
dd,LUA_MENU_MP_DEMOLITION,LUA_MENU_MP_DEMOLITION_DESC,gamemode_demolition,1,1,Standard,0,LUA_MENU_WARGAME_SEARCH_AND_DESTROY,OBJECTIVES_DD_ATTACKER_HINT,OBJECTIVES_DD_DEFENDER_HINT,0,1,
ctf,LUA_MENU_MP_CTF,LUA_MENU_MP_CTF_DESC,gamemode_capture_the_flag,1,1,Standard,1,LUA_MENU_WARGAME_BLITZ,OBJECTIVES_CTF_HINT,OBJECTIVES_CTF_HINT,1,1,
sr,LUA_MENU_MP_SR,LUA_MENU_MP_SR_DESC,gamemode_search_n_rescue,1,1,Standard,1,LUA_MENU_WARGAME_SR,OBJECTIVES_SD_ATTACKER_HINT,OBJECTIVES_SD_DEFENDER_HINT,0,1,
siege,LUA_MENU_MP_SIEGE,LUA_MENU_MP_SIEGE_DESC,gamemode_reinforce,1,1,Standard,0,LUA_MENU_MP_WARGAME_SIEGE,OBJECTIVES_SIEGE_HINT,OBJECTIVES_SIEGE_HINT,0,1,
grind,LUA_MENU_MP_GRIND,LUA_MENU_MP_GRIND_DESC,gamemode_grind,1,1,Standard,0,LUA_MENU_WARGAME_GRIND,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0,1,
infect,LUA_MENU_MP_INFECT,LUA_MENU_MP_INFECT_DESC,gamemode_infected,0,0,Alternate,0,LUA_MENU_WARGAME_INFECT,OBJECTIVES_INFECT_HINT,OBJECTIVES_INFECT_HINT,0,1,
gun,LUA_MENU_MP_GUN,LUA_MENU_MP_GUN_DESC,gamemode_gun_game,0,0,Alternate,0,LUA_MENU_WARGAME_GUN,OBJECTIVES_DM_HINT,OBJECTIVES_DM_HINT,0,0,
grnd,LUA_MENU_MP_GRND,LUA_MENU_MP_GRND_DESC,gamemode_drop_zone,1,1,Alternate,0,MPUI_GRND,OBJECTIVES_GRND_HINT,OBJECTIVES_GRND_HINT,0,1,
zombie,LUA_MENU_MP_ZOMBIE,LUA_MENU_MP_ZOMBIE_DESC,gamemode_generic,0,0,Exclude,0,,ALIEN_OBJECTIVES_ALIENS_HINT,ALIEN_OBJECTIVES_ALIENS_HINT,0,1,
