0,passive_headshot_ammo,PASSIVES_HEADSHOT_AMMO_NAME,passive_icon_headshot_ammo,PASSIVES_HEADSHOT_AMMO_DESC,,,,x,,,,,,passive_headshot_ammo,PASSIVES_HEADSHOT_AMMO_DESC_CP,0,0,0,0,0,2,
1,passive_scrambler,PASSIVES_SCRAMBLER_NAME,passive_icon_scrambler,PASSIVES_SCRAMBLER_DESC,,,,x,,,,,,,ZM_PASSIVES_SCRAMBLER_DESC,0,0,0,0,0,2,
2,passive_last_shots_ammo,PASSIVES_LAST_SHOTS_AMMO_NAME,passive_icon_last_shots_ammo,PASSIVES_LAST_SHOTS_AMMO_DESC,,,,x,,,,,,,PASSIVES_LAST_SHOTS_AMMO_DESC,0,0,0,0,0,2,
3,passive_minimap_decoys,PASSIVES_MINIMAP_DECOYS_NAME,passive_icon_placeholder,PASSIVES_MINIMAP_DECOYS_DESC,,,,x,,,,,,,PASSIVES_MINIMAP_DECOYS_DESC,0,0,0,0,0,2,
4,passive_health_on_kill,PASSIVES_HEALTH_ON_KILL_NAME,passive_icon_health_on_kill,PASSIVES_HEALTH_ON_KILL_DESC,,,,x,,,,,,,PASSIVES_HEALTH_REGEN_ON_KILL_DESC_CP,0,0,0,0,0,4,
5,passive_double_kill_reload,PASSIVES_DOUBLE_KILL_RELOAD_NAME,passive_icon_double_kill_reload,PASSIVES_DOUBLE_KILL_RELOAD_DESC,,,,x,,,,,,passive_double_kill_reload,PASSIVES_DOUBLE_KILL_RELOAD_DESC_CP,0,0,0,0,0,2,
6,passive_explosive_kills,PASSIVES_EXPLOSIVE_KILLS_NAME,passive_icon_placeholder,PASSIVES_EXPLOSIVE_KILLS_DESC,,,,x,,,,,,,PASSIVES_EXPLOSIVE_KILLS_DESC,0,0,0,0,0,2,
7,passive_miss_refund,PASSIVES_MISS_REFUND_NAME,passive_icon_miss_refund,PASSIVES_MISS_REFUND_DESC,,,,x,,,,,,,PASSIVES_MISS_REFUND_DESC,0,0,0,0,0,2,
8,passive_move_speed,PASSIVES_MOVE_SPEED_NAME,passive_icon_move_speed,PASSIVES_MOVE_SPEED_DESC,,,,x,,,,,,,PASSIVES_MOVE_SPEED_DESC,0,0,0,0,6,1,
9,passive_decreased_cost,PASSIVES_REDUCED_COST_NAME,passive_icon_placeholder,,PASSIVES_REDUCED_COST_DESC_STREAK,,,,x,,,,,,,0,0,0,0,0,1,
10,passive_extra_health,PASSIVES_EXTRA_HEALTH_NAME,passive_icon_extra_health,,PASSIVES_EXTRA_HEALTH_DESC_STREAK,PASSIVES_EXTRA_HEALTH_DESC_STREAK,PASSIVES_EXTRA_HEALTH_DESC_STREAK,,x,x,x,,,,,0,0,0,0,0,1,
