0,-1,-1,160,260,,#02/21/17,,#TIMESTAMP = 1487700000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1,-1,160,260,,#02/28/17,,,,1,1,1,2,1,2,3,0,1,1,1,2,1,2,3,4
2,-1,-1,160,260,,#03/07/17,,,,2,2,3,3,0,0,0,0,2,2,3,3,4,4,4,0
3,-1,-1,160,260,,#03/14/17,,,,3,0,0,0,1,2,3,0,3,4,4,4,0,0,0,4
4,-1,-1,160,260,,#03/21/17,,,,0,1,1,2,0,0,0,0,4,0,0,0,1,2,3,0
5,-1,-1,160,260,,#03/28/17,,,,1,2,3,3,1,2,3,0,0,1,1,2,4,4,4,4
6,-1,-1,160,260,,#04/04/17,,,,2,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0
7,-1,-1,160,260,,#04/11/17,#1,#FIRST LIVE WEEK,,3,1,1,2,1,2,3,0,2,4,4,4,1,2,3,4
8,-1,-1,160,260,,#04/18/17,#2,#Easter - 4/16,#,0,2,3,3,0,0,0,0,3,0,0,0,4,4,4,0
9,-1,-1,160,260,,#04/25/17,#3,,,1,0,0,0,1,2,3,0,4,1,1,2,0,0,0,4
10,-1,-1,160,260,,#05/02/17,#4,,,2,1,1,2,0,0,0,0,0,2,3,3,1,2,3,0
11,-1,-1,160,260,,#05/09/17,#5,#Mother's Day - 5/14,,3,2,3,3,1,2,3,0,1,4,4,4,4,4,4,4
12,-1,-1,160,260,,#05/16/17,#6,,#,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13,-1,-1,160,260,,#05/23/17,#7,#Memorial Day - 5/29,,1,1,1,2,1,2,3,0,3,1,1,2,1,2,3,4
14,-1,-1,160,260,,#05/30/17,#8,,,2,2,3,3,0,0,0,0,4,2,3,3,4,4,4,0
15,-1,-1,160,264,,#06/06/17,#9,,,3,0,0,0,1,2,3,0,0,4,4,4,0,0,0,4
16,-1,-1,161,264,,#06/13/17,#10,#Father's Day - 6/18,,0,1,1,2,0,0,0,0,1,0,0,0,1,2,3,0
17,-1,-1,162,263,,#06/20/17,#11,,,1,2,3,3,1,2,3,0,2,1,1,2,4,4,4,4
18,-1,-1,163,261,,#06/27/17,#12,,,2,0,0,0,0,0,0,0,3,2,3,3,0,0,0,0
19,-1,-1,164,260,,#07/04/17,#13,#Independence Day - 7/4,#,3,1,1,2,1,2,3,0,4,4,4,4,1,2,3,4
20,-1,-1,160,264,,#07/11/17,#14,,,0,2,3,3,0,0,0,0,0,0,0,0,4,4,4,0
21,-1,-1,161,263,,#07/18/17,#15,,,1,0,0,0,1,2,3,0,1,1,1,2,0,0,0,4
22,-1,-1,162,264,,#07/25/17,#16,,,2,1,1,2,0,0,0,0,2,2,3,3,1,2,3,0
23,-1,-1,163,262,,#08/01/17,#17,,#,3,2,3,3,1,2,3,0,3,4,4,4,4,4,4,4
24,-1,-1,164,260,,#08/08/17,#18,,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
