0,con_test,,5,BUG_NEEDS_STRING,1
1,con_kills_AR,-1,1000,INTEL_MP_CONTRACT_KILLS_AR,
2,con_kills_LMG,-1,500,INTEL_MP_CONTRACT_KILLS_LMG,
3,con_kills_SG,-1,750,INTEL_MP_CONTRACT_KILLS_SG,
4,con_kills_Sniper,-1,500,INTEL_MP_CONTRACT_KILLS_SNIPER,
5,con_kills_SMG,-1,1000,INTEL_MP_CONTRACT_KILLS_SMG,
6,con_doors,-1,50,ZM_CONTRACTS_BUY_DOORS,
7,con_kills_head_zmb,0,500,ZM_CONTRACTS_KILLS_HEADSHOTS,
8,con_kills_head_rave,1,500,ZM_CONTRACTS_KILLS_HEADSHOTS,
9,con_kills_head_disco,2,500,ZM_CONTRACTS_KILLS_HEADSHOTS,
10,con_kills_head_town,3,500,ZM_CONTRACTS_KILLS_HEADSHOTS,
11,con_cash_earned_zmb,0,50000,ZM_CONTRACTS_CASH_EARNED,
12,con_cash_earned_rave,1,50000,ZM_CONTRACTS_CASH_EARNED,
13,con_cash_earned_disco,2,50000,ZM_CONTRACTS_CASH_EARNED,
14,con_cash_earned_town,3,50000,ZM_CONTRACTS_CASH_EARNED,
15,con_kills_golf_rave,1,200,ZM_CONTRACTS_KILLS_GOLF,
16,con_kills_bat_rave,1,200,ZM_CONTRACTS_KILLS_BAT,
17,con_kills_axe_rave,1,200,ZM_CONTRACTS_KILLS_AXE,
18,con_kills_machete_rave,1,200,ZM_CONTRACTS_KILLS_MACHETE,
19,con_kills_cleaver_town,3,150,ZM_CONTRACTS_KILLS_CLEAVER,
20,con_kills_crowbar_town,3,150,ZM_CONTRACTS_KILLS_CROWBAR,
21,con_kills_axe_zmb,0,200,ZM_CONTRACTS_KILLS_AXE,
22,con_kills_dragon_disco,2,250,ZM_CONTRACTS_KILLS_DRAGON,
23,con_kills_tiger_disco,2,250,ZM_CONTRACTS_KILLS_TIGER,
24,con_kills_snake_disco,2,250,ZM_CONTRACTS_KILLS_SNAKE,
25,con_kills_crane_disco,2,250,ZM_CONTRACTS_KILLS_CRANE,
26,con_consumables_used,-1,10,ZM_CONTRACTS_CONSUMBALES_USED,
27,con_reboard_windows,-1,50,ZM_CONTRACTS_REBOARD_WINDOWS,
28,con_kills_clowns_zmb,0,45,ZM_CONTRACTS_KILLS_CLOWNS,
29,con_kills_sasquatch_rave,1,30,ZM_CONTRACTS_KILLS_SASQUATCHES,
30,con_kills_skaters_disco,2,45,ZM_CONTRACTS_KILLS_SKATERS,
31,con_kills_crogs_town,3,30,ZM_CONTRACTS_KILL_CROGS,
32,con_waves,-1,50,ZM_CONTRACTS_WAVES,
33,con_trap_kills_zmb,0,150,ZM_CONTRACTS_TRAP_KILLS,
34,con_trap_kills_rave,1,100,ZM_CONTRACTS_TRAP_KILLS,
35,con_trap_kills_disco,2,100,ZM_CONTRACTS_TRAP_KILLS,
36,con_trap_kills_town,3,75,ZM_CONTRACTS_TRAP_KILLS,
37,con_magic_wheel_uses,-1,15,ZM_CONTRACTS_MAGIC_WHEEL,
38,con_kills_explosive,-1,150,ZM_CONTRACTS_KILLS_EXPLOSIVE,
39,con_hoff_spawn,0,5,ZM_CONTRACTS_HOFF_SPAWN,
40,con_elvira_spawn,3,5,ZM_CONTRACTS_ELVIRA_SPAWN,
41,con_cash_spent_zmb,0,50000,ZM_CONTRACTS_CASH_SPENT,
42,con_cash_spent_rave,1,50000,ZM_CONTRACTS_CASH_SPENT,
43,con_cash_spent_disco,2,50000,ZM_CONTRACTS_CASH_SPENT,
44,con_cash_spent_town,3,50000,ZM_CONTRACTS_CASH_SPENT,
45,con_challenge_badge_rave,1,10,ZM_CONTRACTS_CHALLENGE_BADGES,
46,con_crafted_kills_town,3,50,ZM_CONTRACTS_CRAFTED_KILLS,
47,con_kills_Pistol,-1,150,ZM_CONTRACTS_KILLS_PISTOL,
48,con_coaster_targets_zmb,0,20,ZM_CONTRACTS_COASTER_TARGETS,
49,con_shooting_gallery_zmb,0,20,ZM_CONTRACTS_SHOOTING_GALLERY,
50,con_spend_tickets,0,1000,ZM_CONTRACTS_TICKETS_SPEND,
51,con_entangler_kills_final,4,150,ZM_CONTRACTS_KILLS_ENTANGLER,
52,con_venomx_kills_final,4,150,ZM_CONTRACTS_KILLS_VENOMX,
53,con_kills_head_final,4,500,ZM_CONTRACTS_KILLS_HEADSHOTS,
54,con_cash_spent_final,4,50000,ZM_CONTRACTS_CASH_SPENT,
55,con_trap_kills_final,4,100,ZM_CONTRACTS_TRAP_KILLS,
56,con_goon_kills_final,4,50,ZM_CONTRACTS_GOON_KILLS,
57,con_phantom_kills_final,4,5,ZM_CONTRACTS_PHANTOM_KILLS,
58,con_special_kills_final,4,30,ZM_CONTRACTS_SPECIAL_KILLS,
59,con_cash_earned_final,4,50000,ZM_CONTRACTS_CASH_EARNED,
