ironvc,PLATFORM_200_CP_TITLE_LONG,eddb58db-e3be-434c-a967-36dd208e24e7,9,CODIWCP000000200,1,1,IWCP00,image_cod_pts_200,9NBLGGH4353H,PLATFORM_200_CP_DESC_LONG,0,1
bronzevc,PLATFORM_1000_CP_TITLE_LONG,ac19dee5-9baf-4b8d-a44d-0826dc995d1a,1,CODIWCP000001000,1,1,IWCP01,image_cod_pts_1100,9NBLGGH42HZL,PLATFORM_1000_CP_DESC_LONG,0,1
silvervc,PLATFORM_2000_CP_TITLE_LONG,f8a6bd40-2154-4479-b41f-5d1776aa6991,2,CODIWCP000002000,1,1,IWCP02,image_cod_pts_2400,9NBLGGH42JCX,PLATFORM_2000_CP_DESC_LONG,0,1
goldvc,PLATFORM_4000_CP_TITLE_LONG,c7804043-e214-4065-8efd-98a2ef2c320c,3,CODIWCP000005000,1,1,IWCP03,image_cod_pts_5000,9NBLGGH42HZK,PLATFORM_4000_CP_DESC_LONG,0,1
platinumvc,PLATFORM_7500_CP_TITLE_LONG,eac2b881-e07c-438e-ad79-6a48f5a9af74,5,CODIWCP000007500,1,1,IWCP04,image_cod_pts_9500,9NBLGGH42HZJ,PLATFORM_7500_CP_DESC_LONG,0,1
diamondvc,PLATFORM_10000_CP_TITLE_LONG,d963ed16-755e-4e77-9b01-8036c715b68a,6,CODIWCP000010000,1,1,IWCP05,image_cod_pts_13000,9NBLGGH42HZH,PLATFORM_10000_CP_DESC_LONG,0,1
vip,PLATFORM_SEASON_PASS_TITLE_LONG,e42207cb-1f10-4afa-8aee-03637a54f452,4,CODIWSEASONPASS1,0,1,IWSP01,image_basicstore_seasonpass,9NBLGGH5393R,PLATFORM_SEASON_PASS_LONG_DESC,0,1
dayone,,514247ba-13b2-4b53-b56c-5634a5fa3dff,8,CODIWDAYONEMPMAP,0,2,CODIWDAYONEMPMAP,,9NBLGGH5389S,,0,1
five_supply,,99b322a7-9dfa-44e3-b876-38500c925e0a,,CODIWINCENTIVE02,0,2,IW0002,,,,0,1
deluxe,,c5da3bf3-3459-4202-a7eb-6eb8f41fabe5,7,IW0001,0,2,IW0001,,,,0,1
deluxe_pre,,4bc79e54-9681-4657-b6c9-90799be065ed,,IW1000,0,2,IW1000,,,,0,1
jackalvr,LUA_MENU_MP_JACKALVR,,,CALLOFDUTYJACKAL,1,1,CALLOFDUTYJACKAL,image_basicstore_jackalvr,,,0,1
disk_upsell,LUA_MENU_REMASTERED_UPSELL,,11,CODIWLGCYDISCUPG,0,1,CODIWLGCYDISCUPG,image_basicstore_legacy,,,0,1
digital_upsell,LUA_MENU_REMASTERED_UPSELL,,12,CODIWLGCYDGTLUPG,0,1,CODIWLGCYDGTLUPG,image_basicstore_legacy,,,0,1
cwl,LUA_MENU_MP_CWL,,50020,,0,0,,image_basicstore_cwl,,LUA_MENU_MP_CWL_PERSONALIZATION_PACK,300,1
mappack1,LUA_MENU_MP_MAPPACK1,6d12c5e7-0229-4eef-99fd-b8a6cae1edf3,14,CODIWTHEDLC10001,0,1,CODIWTHEDLC10001,image_basicstore_dlc1,,LUA_MENU_MP_MAPPACK1_DESC,0,1
announcer1,ANNOUNCERS_UK_SPECIAL_FORCES,43063fac-6cea-4654-afab-8032cfe581e0,15,ANNOUNCERPACK001,0,1,ANNOUNCERPACK001,image_basicstore_announcer001,9N454V5Z70S8,ANNOUNCERS_UK_SPECIAL_FORCES,0,1
announcer2,ANNOUNCERS_RAPPER,09a908ec-814d-4397-abdb-7c4fdb980e1b,16,ANNOUNCERPACK002,0,1,ANNOUNCERPACK002,image_basicstore_announcer002,9P0PD9QZ3L87,ANNOUNCERS_RAPPER,0,1
announcer3,ANNOUNCERS_REVIEWER,12738122-bf85-4d24-8f5e-5bdfea4c9f50,17,ANNOUNCERPACK003,0,1,ANNOUNCERPACK003,image_basicstore_announcer003,9P89V6MLPJ3Z,ANNOUNCERS_REVIEWER,0,1
announcer4,ANNOUNCERS_KEN,5f988a84-66a6-4574-8165-724ed26f2424,18,ANNOUNCERPACK004,0,1,ANNOUNCERPACK004,image_basicstore_announcer004,9P8W1783B5FV,ANNOUNCERS_KEN,0,1
code,LUA_MENU_MP_CODE,03902436-0b2f-4ef9-abad-9379f45f264d,10,CODIWCODEPACK001,0,1,IWCDE1,image_basicstore_codepack,9NX5XKRQS047,LUA_MENU_MP_CODE_PERSONALIZATION_PACK,0,1
mappack2,LUA_MENU_MP_MAPPACK2,3cf0d4ee-13be-4582-85e5-f614be0df886,20,CODIWTHEDLC20001,0,1,CODIWTHEDLC20001,image_basicstore_dlc2,,LUA_MENU_MP_MAPPACK2_DESC,0,1
s2deluxe,LUA_MENU_MP_S2_DELUXE,ca228a22-67af-49e5-977f-a80b93eaf33c,21,CODWWIIDELUXE001,0,1,CODWWIIDELUXE001,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0
s2deluxeeu,LUA_MENU_MP_S2_DELUXE,,21,CODWWIIDELUXEPRE,0,1,CODWWIIDELUXEPRE,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0
s2deluxeasia2,LUA_MENU_MP_S2_DELUXE,,21,ASIACODWWIIPRE02,0,1,ASIACODWWIIPRE02,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0
s2,LUA_MENU_MP_S2,cb2af416-e0b2-46cb-9630-2a1534e1c16d,19,CODWWIITHEGAME01,0,1,CODWWIITHEGAME01,image_basicstore_s2_base,,LUA_MENU_MP_S2_DESC,0,0
s2eu,LUA_MENU_MP_S2,,19,CODWWIIGAMEPRE01,0,1,CODWWIIGAMEPRE01,image_basicstore_s2_base,,LUA_MENU_MP_S2_DESC,0,0
s2asia1,LUA_MENU_MP_S2,,19,ASIACODWWIIPRE01,0,1,ASIACODWWIIPRE01,image_basicstore_s2_base,,LUA_MENU_MP_S2_DESC,0,0
cwl2,LUA_MENU_MP_CWL2,,50025,,0,0,,image_basicstore_cwl2,,LUA_MENU_MP_CWL2_PERSONALIZATION_PACK,500,1
announcer5,ANNOUNCERS_GRANDMA,70b493c2-9912-4290-9fdb-e5e7ace3fa09,21,ANNOUNCERPACK005,0,1,ANNOUNCERPACK005,image_basicstore_announcer005,9P1PF840PQZD,ANNOUNCERS_GRANDMA,0,1
mappack3,LUA_MENU_MP_MAPPACK3,fe75010d-c2b1-45e6-920c-9ceb794b7338,22,CODIWTHEDLC30001,0,1,CODIWTHEDLC30001,image_basicstore_dlc3,,LUA_MENU_MP_MAPPACK3_DESC,0,1
announcer_bundle,ANNOUNCERS_BUNDLE,98d49a0a-8f26-4c58-841e-61aa0f43208f,22,ANNOUNCERBUNDLE1,0,1,ANNOUNCERBUNDLE1,image_basicstore_announcerbundle,,ANNOUNCERS_BUNDLE,0,0
announcer_bundle_pc,ANNOUNCERS_BUNDLE,,22,,0,1,,image_basicstore_announcerbundle,,ANNOUNCERS_BUNDLE,0,1
s2offer,LUA_MENU_MP_S2_OFFER,feff2de4-34ae-4016-b3c7-c8b6e6c942bd,23,CODIWCP000000500,0,1,IWCP99,image_basicstore_s2_offer,,LUA_MENU_MP_S2_OFFER,0,1
mappack4,LUA_MENU_MP_MAPPACK4,4d0ea8ad-799c-4bf4-97fb-5c23ba231f46,24,CODIWTHEDLC40001,0,1,CODIWTHEDLC40001,image_basicstore_dlc4,,LUA_MENU_MP_MAPPACK4_DESC,0,1
bo4,LUA_MENU_MP_T8,fb8c3e23-6a49-458e-af38-a60dda57093d,19,CODBO4THEGAME001,0,1,CODBO4THEGAME001,image_basicstore_s2_base,,LUA_MENU_MP_T8_DESC,0,0
bo4eu,LUA_MENU_MP_T8,,19,CODBO4GAMEPRE001,0,1,CODBO4GAMEPRE001,image_basicstore_s2_base,,LUA_MENU_MP_T8_DESC,0,0
