a0,b1,c2,,,,
1,zombie_death,wave_num player weapon agent_type location,,,,
2,wave_complete,match wave_num wave_duration last_stand_number times_in_afterlife,,,,
3,dropped_to_last_stand,player remaining_ammo agent_type location wave_num total_kills,,,,
4,magic_box_used,match wave_num,,,,
5,entering_afterlife_arcade,player wave_num soul_power self_revives_left,,,,
6,exiting_afterlife_arcade,player wave_num reason time_spent_in_afterlife,,,,
7,turning_on_the_power,match location_of_power wave_num,,,,
8,opening_the_doors,player door_location cost_of_door wave_num,,,,
9,challenge_activated,match challenge_name wave_num,,,,
10,challenge_completed,match challenge_name wave_num challenge_time,,,,
11,atm_used,wave_num player,,,,
12,portal_used,match wave_num portal_location,,,,
13,souvenir_item_crafted,match wave_num crafted_item_type,,,,
14,purchasing_weapon,player new_weapon old_weapon wave_num weapon_purchase_location waves_with_weapon weapon_kills weapon_downs,,,,
15,lost_and_found,match times_items_picked times_items_timed_out times_lostandfound_used,,,,
16,faf_card_used,card_name wave_num player,,,,
17,pack_a_punch_used,match wave_num upgraded_weapon times_weapon_upgraded,,,,
18,souvenir_coin_used,match wave_num souvenir_coin_type,,,,
19,crafted_item_placed,player wave_num crafted_item_type item_kills time_item_lasted,,,,
20,interaction_status,match interaction_name status_flag,,,,
21,perk_machine_used,match wave_num perk_name,,,,
22,perk_returned,match wave_num returned_perk,,,,
23,finished_mini_game,player wave_num minigame_name afterlife_status number_of_tickets_earned number_of_times_per_wave,,,,
24,pillage_event,player pillage_bag_type item_picked item_ignored transaction_id,,,,
25,faf_card_refill,wave_num player,,,,
26,item_purchase_with_tickets,match wave_num item_name transaction_id,,,,
27,neil_head_found,match wave_num_head_pickup,,,,
28,neil_battery,match wave_num_battery_pickup wave_num_battery_placed,,,,
29,neil_floppy,match wave_num_floppy_pickup wave_num_floppy_placed,,,,
30,balloons_popped,match wave_num_balloons_popped,,,,
31,shot_icemonster,match result,,,,
32,ghost_spelled,match wave_duration,,,,
33,1984_kills,wave_num_1984_kills,,,,
34,beating_arcade_games,match dc_mode,,,,
35,brute_hits_cabinet,match boss_fight,,,,
36,activate_enter_ghostskulls_game,match wave_num_activate_enter_ghostskulls_game,,,,
37,player_exits_ghostskulls_games,match wave_num_ghost_skulls game_complete_status time_spent_in_area,,,,
38,xp_earned,total_xp_value player wave_num,,,,
39,challenge_failed,match challenge_name wave_num progress_percentage failure_count,,,,
40,frequency_device_collected,match wave_num_frequency_device_collected device_location part_name,,,,
41,frequency_device_crafted_dj,match wave_num_frequency_device_crafted craft_location,,,,
42,speaker_defence_sequence_ends,match wave_num_defence_sequence_end defence_end_location defence_sequence_duration remaining_health_speaker,,,,
43,tone_sequence_activated,match wave_num_tone_sequence_activated,,,,
44,suicide_bomber_sequence_activated,match wave_num_suicide_bomber_sequence_activated,,,,
