1,long_shot,0,CP_ZMB_CHALLENGES_LONGSHOT,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 8 10 12,amount,zm_challenge_distance_feet
2,jump_shot,0,CP_ZMB_CHALLENGES_KILL_WHILE_JUMPING,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 8 10 10,amount,zm_challenge_jumping_kills
3,kill_headshots,0,CP_ZMB_CHALLENGES_KILL_HEADSHOTS,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 8 10 10,amount,zm_challenge_headshots
4,kill_marked,0,CP_ZMB_CHALLENGES_KILLED_MARKED,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,3 5 5 8,amount,zm_challenge_kill_marked
5,kill_nodamage,0,CP_ZMB_CHALLENGES_KILL_NO_DAMAGE,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,90 90 90 90,5 7 10 10,amount,zm_challenge_no_damage
6,no_bleedout,0,CP_ZMB_CHALLENGES_NO_BLEED_OUT,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,0,,120 120 150 180,,wave,zm_challenge_bleedout
7,no_laststand,0,CP_ZMB_CHALLENGES_NO_LAST_STAND,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,,wave,zm_challenge_last_stand
8,protect_player,0,CP_ZMB_CHALLENGES_PROTECT_PLAYER,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,0,CP_ZMB_CHALLENGES_PROTECT_PLAYER_SPLASH,120 90 90 60,,player,zm_challenge_protect_player
9,challenge_failed,0,CP_ZMB_CHALLENGES_FAILED,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,0,,wave,
10,challenge_success,0,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,0,,,
11,kill_melee,0,CP_ZMB_CHALLENGES_MELEE_KILLS,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,90 90 90 90,5 7 10 10,amount,zm_challenge_melee_kills
12,kill_crawlers,0,CP_ZMB_CHALLENGES_KILL_CRAWLERS,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 7 10 10,amount,zm_challenge_kill_crawlers
13,window_boards,0,CP_ZMB_CHALLENGES_REBOARD,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,90 90 90 120,15 30 45 60,amount,zm_challenge_board_windows
14,kill_before_enter,0,CP_ZMB_CHALLENGES_KILL_BEFORE_ENTER,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 7 10 10,amount,challenge_windowkill
15,dismember_arm,0,CP_ZMB_CHALLENGES_DISMEMBER_ARM,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 7 10 10,amount,zm_challenge_shooting_arms
16,dismember_leg,0,CP_ZMB_CHALLENGES_DISMEMBER_LEG,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 7 10 10,amount,zm_challenge_shooting_legs
17,next_challenge,0,CP_ZMB_CHALLENGES_DISMEMBER_LEG,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,30 30 30 30,5 7 10 10,nextchallenge,hud_icon_zmb_challenge
18,multikills,0,CP_ZMB_CHALLENGES_MULTIKILLS,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,2 4 5 5,amount,zm_challenge_multi_kills
19,area_kills,0,CP_ZMB_CHALLENGES_AREAKILLS,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 7 10 12,amount,zm_challenge_within_circle
20,close_shot,0,CP_ZMB_CHALLENGES_CLOSESHOT,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 8 10 12,amount,zm_challenge_within_feet
21,kill_zombiewhodamagedme,0,CP_ZMB_CHALLENGES_KILL_ZOMBIEWHODAMAGED,CP_ZMB_CHALLENGES_CHALLENGE_COMPLETED,CP_ZMB_CHALLENGES_FAILED,1,,120 90 90 60,5 8 10 10,amount,zm_challenge_return_damage
