10001,killstreak_uav_rare,2,20,150,1010001,uav,passive_duration_health,,,LOOT_KILLSTREAKS_UAV_RARE,icon_scorestreak_render_uav_rare,,ScoreStreak,N,Y,10,500,800,LOOT_KILLSTREAKS_FE_UAV_RARE,icon_slot_scorestreak_render_uav_rare
10002,killstreak_uav_legendary,3,100,300,1010002,uav,passive_armor_speed,,,LOOT_KILLSTREAKS_UAV_LEGENDARY,icon_scorestreak_render_uav_legend,,ScoreStreak,N,Y,10,500,800,LOOT_KILLSTREAKS_FE_UAV_LEGENDARY,icon_slot_scorestreak_render_uav_legend
10003,killstreak_uav_epic,4,250,450,1010003,uav,passive_extra_assist,,,LOOT_KILLSTREAKS_UAV_EPIC,icon_scorestreak_render_uav_epic,,ScoreStreak,N,Y,10,625,1350,LOOT_KILLSTREAKS_FE_UAV_EPIC,icon_slot_scorestreak_render_uav_epic
10004,killstreak_venom_rare,2,20,150,1010004,venom,passive_increased_frost,,,LOOT_KILLSTREAKS_VENOM_RARE,icon_scorestreak_render_venom_rare,,ScoreStreak,N,Y,10,450,700,LOOT_KILLSTREAKS_FE_VENOM_RARE,icon_slot_scorestreak_render_venom_rare
10005,killstreak_venom_legendary,3,100,300,1010005,venom,passive_speed_heavy,,,LOOT_KILLSTREAKS_VENOM_LEGENDARY,icon_scorestreak_render_venom_legend,,ScoreStreak,N,Y,10,450,700,LOOT_KILLSTREAKS_FE_VENOM_LEGENDARY,icon_slot_scorestreak_render_venom_legend
10006,killstreak_venom_epic,4,250,450,1010006,venom,passive_stealth_speed,,,LOOT_KILLSTREAKS_VENOM_EPIC,icon_scorestreak_render_venom_epic,,ScoreStreak,N,Y,10,450,700,LOOT_KILLSTREAKS_FE_VENOM_EPIC,icon_slot_scorestreak_render_venom_epic
10007,killstreak_precision_airstrike_rare,2,20,150,1010007,precision_airstrike,passive_precision_strike,,,LOOT_KILLSTREAKS_AIRSTRIKE_RARE,icon_scorestreak_render_scorchers_rare,,ScoreStreak,N,Y,10,800,2800,LOOT_KILLSTREAKS_FE_AIRSTRIKE_RARE,icon_slot_scorestreak_render_scorchers_rare
10008,killstreak_precision_airstrike_legendary,3,100,300,1010008,precision_airstrike,passive_speed_cost,,,LOOT_KILLSTREAKS_AIRSTRIKE_LEGENDARY,icon_scorestreak_render_scorchers_legend,,ScoreStreak,N,Y,10,875,3600,LOOT_KILLSTREAKS_FE_AIRSTRIKE_LEGENDARY,icon_slot_scorestreak_render_scorchers_legend
10009,killstreak_precision_airstrike_epic,4,250,450,1010009,precision_airstrike,passive_split_strike,,,LOOT_KILLSTREAKS_AIRSTRIKE_EPIC,icon_scorestreak_render_scorchers_epic,,ScoreStreak,N,Y,10,800,2800,LOOT_KILLSTREAKS_FE_AIRSTRIKE_EPIC,icon_slot_scorestreak_render_scorchers_epic
10010,killstreak_jackal_rare,2,20,150,1010010,jackal,passive_extra_flare,,,LOOT_KILLSTREAKS_JACKAL_RARE,icon_scorestreak_render_dropship_rare,,ScoreStreak,N,Y,10,1100,4600,LOOT_KILLSTREAKS_FE_JACKAL_RARE,icon_slot_scorestreak_render_dropship_rare
