0,9999,mp/loot/iw7_weapon_loot_master.csv,7,3,6,1,1,0,12
10000,19999,mp/loot/iw7_killstreak_loot_master.csv,14,3,2,1,1,0,16
20000,29999,mp/loot/iw7_power_loot_master.csv,14,4,2,1,1,0,17
30000,39999,mp/loot/iw7_consumable_loot_master.csv,7,4,2,0,1,0,-1
40000,49999,mp/loot/iw7_cosmetic_calling_cards_loot_master.csv,7,4,2,1,1,0,12
50000,59999,mp/loot/iw7_dlc_loot_master.csv,-1,-1,-1,0,0,0,-1
60000,69999,mp/loot/iw7_currency_loot_master.csv,-1,-1,-1,0,0,0,-1
70000,79999,mp/loot/iw7_loot_crate_loot_master.csv,-1,-1,-1,0,0,0,-1
80000,89999,mp/loot/iw7_currency_pack_loot_master.csv,-1,-1,-1,0,0,0,-1
90000,99999,mp/loot/iw7_care_packages_loot_master.csv,7,4,2,0,1,0,-1
100000,109999,mp/loot/iw7_cosmetic_emblems_loot_master.csv,7,4,2,1,1,0,12
110000,119999,mp/loot/iw7_cosmetic_emotes_loot_master.csv,7,4,2,1,1,0,12
120000,129999,mp/loot/iw7_cosmetic_rigs_loot_master.csv,7,4,2,1,1,0,12
130000,139999,mp/loot/iw7_cosmetic_reticles_loot_master.csv,7,4,2,1,1,0,12
140000,149999,mp/loot/iw7_cosmetic_camos_loot_master.csv,7,4,2,1,1,0,12
150000,159999,mp/loot/iw7_cosmetic_attachments_loot_master.csv,7,4,2,1,1,0,12
160000,169999,mp/loot/iw7_cosmetic_fiction_loot_master.csv,7,4,2,1,1,0,12
170000,179999,cp/loot/iw7_zombiefatefortune_loot_master.csv,7,4,2,0,1,0,12
190000,199999,mp/loot/iw7_qm_tracker_loot_master.csv,-1,-1,-1,0,0,1,-1
230000,239999,mp/loot/iw7_cosmetic_heroes_loot_master.csv,7,4,2,1,1,0,12
