50000,1100 CP,consumable,1100,1050000,IWCP01,ac19dee5-9baf-4b8d-a44d-0826dc995d1a,292730,999,95ab9de0-ae9e-4338-8edb-d62ee82ae19d,9NBLGGH42HZL,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,2400 CP,consumable,2400,1050001,IWCP02,f8a6bd40-2154-4479-b41f-5d1776aa6991,292730,1999,c8a3830e-8400-4135-91ba-341a1dafd53e,9NBLGGH42JCX,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,5000 CP,consumable,5000,1050002,IWCP03,c7804043-e214-4065-8efd-98a2ef2c320c,292730,3999,c41253f2-1f5f-42dd-a24f-7e14b2da7d51,9NBLGGH42HZK,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,vip,durable,0,1050003,IWSP01,e42207cb-1f10-4afa-8aee-03637a54f452,292730,420490,0764f96b-e3fd-4a14-a77b-4d469ae57284,9NBLGGH5393R,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,exp1,durable,0,1050004,CODIWTHEDLC10001,6d12c5e7-0229-4eef-99fd-b8a6cae1edf3,292730,420491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,exp2,durable,0,1050005,CODIWTHEDLC20001,3cf0d4ee-13be-4582-85e5-f614be0df886,292730,420492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50006,exp3,durable,0,1050006,CODIWTHEDLC30001,fe75010d-c2b1-45e6-920c-9ceb794b7338,292730,420493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,exp4,durable,0,1050007,CODIWTHEDLC40001,4d0ea8ad-799c-4bf4-97fb-5c23ba231f46,292730,420494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,9500 CP,consumable,9500,1050008,IWCP04,eac2b881-e07c-438e-ad79-6a48f5a9af74,292730,7499,16a9e772-3ce6-465e-8873-21688b3cf8f1,9NBLGGH42HZJ,,,,,,,,,,,,,,,,,,,,,,,,,,
50009,13000 CP,consumable,13000,1050009,IWCP05,d963ed16-755e-4e77-9b01-8036c715b68a,292730,9999,375e16e0-ce21-484b-99cb-fa03a3d8372e,9NBLGGH42HZH,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,camo1,durable,0,1050010,IWCDE1,03902436-0b2f-4ef9-abad-9379f45f264d,292730,557360,902cb79b-b475-4a31-8dec-f1c6e6342b37,9NX5XKRQS047,40182,100152,130039,140632,140633,140634,140635,140636,140637,140638,140639,150043,,,,,,,,,,,,,,
50013,dayone,durable,0,1050013,CODIWDAYONEMPMAP,514247ba-13b2-4b53-b56c-5634a5fa3dff,292730,505620,1800e5c7-49c6-44ee-bf15-57084d07a39d,9NBLGGH5389S,40181,70005,130024,140016,140017,140018,140019,140020,140021,140022,140023,,,,,,,,,,,,,,,
50014,five_supply,durable,0,1050014,IW0002,99b322a7-9dfa-44e3-b876-38500c925e0a,0,0,,,70001,70001,70001,70001,70001,,,,,,,,,,,,,,,,,,,,,
50015,deluxe,durable,0,1050015,IW0001,c5da3bf3-3459-4202-a7eb-6eb8f41fabe5,292730,517831,d14d11fa-2055-4c0e-9526-961dca5d7fde,9NBLGGH43P22,130021,40151,140392,140393,140394,140395,140396,140397,140398,140399,130022,40152,140400,140401,140402,140403,140404,140405,140406,140407,40153,40154,40155,40156,40157,40158
50016,200 CP,consumable,200,1050016,IWCP00,eddb58db-e3be-434c-a967-36dd208e24e7,292730,199,620908fb-ccfb-4ae9-80b5-16f98c7b64d2,9NBLGGH4353H,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,deluxe_pre,durable,0,1050017,IW1000,4bc79e54-9681-4657-b6c9-90799be065ed,0,0,,,130021,40151,140392,140393,140394,140395,140396,140397,140398,140399,130022,40152,140400,140401,140402,140403,140404,140405,140406,140407,40153,40154,40155,40156,40157,40158
50018,disk_upsell,durable,0,1050018,CODIWLGCYDISCUPG,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50019,digital_upsell,durable,0,1050019,CODIWLGCYDGTLUPG,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,cwl,dw_durable,300,1050020,,,0,0,,,40184,100167,140232,140233,140234,140235,140236,140237,140238,140239,150049,,,,,,,,,,,,,,,
50021,announcer1,durable,0,1050021,ANNOUNCERPACK001,43063fac-6cea-4654-afab-8032cfe581e0,292730,593270,d23a52fc-2db1-434f-8273-cf77336bcc1a,9N454V5Z70S8,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,announcer2,durable,0,1050022,ANNOUNCERPACK002,09a908ec-814d-4397-abdb-7c4fdb980e1b,292730,593271,00e2165a-0548-4010-8928-d93582590192,9P0PD9QZ3L87,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,announcer3,durable,0,1050023,ANNOUNCERPACK003,12738122-bf85-4d24-8f5e-5bdfea4c9f50,292730,593272,61f07c6e-9f1d-4322-ba7b-b3a4db7ef6d8,9P89V6MLPJ3Z,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,announcer4,durable,0,1050024,ANNOUNCERPACK004,5f988a84-66a6-4574-8165-724ed26f2424,292730,593273,104d769a-c623-4191-a899-3f2d609349ac,9P8W1783B5FV,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,cwl2,dw_durable,500,1050025,,,0,0,,,40289,100197,130048,141840,141841,141842,141843,141844,141845,141846,141847,150188,120470,120471,110144,,,,,,,,,,,
