00,marsReport,CAPCOMP_AAR_MARS_TITLE,,,CAPCOMP_AAR_MARS_DETAILS,frontend_marsbase_lowres
01,prisonerReport,CAPCOMP_AAR_PRISONER_TITLE,,,CAPCOMP_AAR_PRISONER_DETAILS,frontend_prisoner_lowres
02,rogueReport,CAPCOMP_AAR_ROGUE_TITLE,,,CAPCOMP_AAR_ROGUE_DETAILS,frontend_rogue_lowres
03,titanReport,CAPCOMP_AAR_TITAN_TITLE,,,CAPCOMP_AAR_TITAN_DETAILS,frontend_titan_lowres
04,europaReport,CAPCOMP_AAR_EUROPA_TITLE,,,CAPCOMP_AAR_EUROPA_DETAILS,frontend_europa_lowres
05,moon_portReport,CAPCOMP_AAR_MOON_TITLE,,,CAPCOMP_AAR_MOON_DETAILS,frontend_moon_port_lowres
06,pearlharborReport,CAPCOMP_AAR_GENEVA_TITLE,,,CAPCOMP_AAR_GENEVA_DETAILS,frontend_phstreets_lowres
07,sa_assassinationReport,CAPCOMP_AAR_SA_ASSASSINATION_TITLE,,,CAPCOMP_AAR_SA_ASSASSINATION_DETAILS,frontend_sa_assassination_lowres
08,sa_empambushReport,CAPCOMP_AAR_SA_EMPAMBUSH_TITLE,,,CAPCOMP_AAR_SA_EMPAMBUSH_DETAILS,frontend_sa_empambush_lowres
09,sa_vipsReport,CAPCOMP_AAR_SA_VIPS_TITLE,,,CAPCOMP_AAR_SA_VIPS_DETAILS,frontend_sa_vips_lowres
10,sa_woundedReport,CAPCOMP_AAR_SA_WOUNDED_TITLE,,,CAPCOMP_AAR_SA_WOUNDED_DETAILS,frontend_sa_wounded_lowres
11,ja_spacestationReport,CAPCOMP_AAR_JA_SPACESTATION_TITLE,,,CAPCOMP_AAR_JA_SPACESTATION_DETAILS,frontend_ja_spacestation_lowres
12,ja_asteroidReport,CAPCOMP_AAR_JA_ASTEROID_TITLE,,,CAPCOMP_AAR_JA_ASTEROID_DETAILS,frontend_ja_asteroid_lowres
13,ja_miningReport,CAPCOMP_AAR_JA_MINING_TITLE,,,CAPCOMP_AAR_JA_MINING_DETAILS,frontend_ja_mining_lowres
14,ja_titanReport,CAPCOMP_AAR_JA_TITAN_TITLE,,,CAPCOMP_AAR_JA_TITAN_DETAILS,frontend_titan_lowres
15,ja_wreckageReport,CAPCOMP_AAR_JA_WRECKAGE_TITLE,,,CAPCOMP_AAR_JA_WRECKAGE_DETAILS,frontend_ja_wreckage_lowres
