damage_feedback,1,,,b,0,,,,,,
ui_active_hud,1,,,s,none,,,,#Acceptable values: none, infantry, jackal
ui_hacking_time,1,,,f,0,0,1,1,,,
ui_hacking_state,1,,,i,0,0,5,,,,
ui_hud_disguise,1,,,b,0,0,1,,,,
ui_hud_parallax,1,,,i,0,0,1,,,,
ui_hit_indicator,1,,,i,0,0,10,,,,
ui_hud_thrust,1,,,i,1,0,2,,,,
ui_hud_tint_color_int,1,,,i,16777215,0,16777215,,,,
ui_hud_emp,1,,,b,0,,,,,,
ui_hud_bootup,1,,,b,0,,,,,,
ui_hud_radio,1,,,b,0,0,1,,,,
ui_hud_ability_primary,1,,,b,1,0,1,,,,
ui_hud_ability_secondary,1,,,b,1,0,1,,,,
ui_olympus_mons_captain_screen,1,,c,e,0,,,,,,
ui_olympus_mons_damage_state,1,,c,a,0,0,32,,,,
ui_olympus_mons_distance,1,,,i,0,0,9999999,,,,
ui_olympus_mons_fspar_target_index,1,,,i,-1,-1,63,,,,
ui_olympus_mons_have_target,1,,,b,0,0,1,,,,
ui_olympus_mons_out_of_range,1,,,b,0,0,1,,,,
ui_olympus_mons_overlay,1,,,i,0,0,3,,,,
ui_olympus_mons_weapon_status,1,,,f,0,0,1,,,,
ui_rogue_asteroid_temperature,1,,,f,0,0,1,,,,
ui_ship_assault_life_support,1,,,i,0,0,3,,,,
ui_show_compass,1,,,b,1,,,,,,
ui_terminal_invoke,1,,,b,0,0,1,,,,
ui_lounge_invoke,1,,,b,0,0,1,,,,
ui_lounge_record_invoke,1,,,b,0,0,1,,,,
ui_kleenex_popup,1,,,b,0,0,1,# for kleenex only, not for ship,,,
ui_temp_menu_counter,1,,,b,0,0,1000,# currently used in temp ui for prologue,,,
ui_power_secondary_recharge,1,1,c,i,0,-1,1000,,,,
ui_power_recharge,1,1,c,i,0,-1,1000,,,,
ui_power_secondary_num_charges,1,1,c,i,0,-1,1000,,,,
ui_power_num_charges,1,1,c,i,0,-1,1000,,,,
ui_power_id_secondary,1,,c,i,-1,-1,1000,,,,
ui_power_id,1,1,c,i,-1,-1,1000,,,,
ui_show_pip,1,,,b,0,,,,,,
ui_pip_static,1,,,b,1,0,1,,,,
ui_power_consume,1,1,c,b,0,,,,,,
ui_power_secondary_consume,1,1,c,b,0,,,,,,
ui_show_bink,1,,,b,0,,,,,,
ui_pip_message_text_top,1,,,s,none,,,,,,
ui_pip_message_text_bottom,1,,,s,none,,,,,,
ui_pip_message_type,1,,,i,0,0,3,,0 = Off, 1 = General, 2 = Warning, 3 = Critical,,
ui_warning_gauge_fill,1,,,f,0,,,,,,
ui_warning_gauge_name,1,,,s,none,,,,,,
ui_countdown_mission_text,1,,,s,none,,,,,,
ui_countdown_timer,1,,,t,0,,,1,,,
ui_jackal_load_ui,1,,,b,0,,,,,,
ui_jackal_weapon_display_temp,1,,,b,0,0,1,,,,
ui_jackal_weapon_secondary,1,,,b,0,0,1,,,,
ui_jackal_barrel_temp_primary_L,1,,,f,0,0,1,,,,
ui_jackal_barrel_temp_primary_R,1,,,f,0,0,1,,,,
ui_jackal_barrel_temp_secondary_L,1,,,f,0,0,1,,,,
ui_jackal_barrel_temp_secondary_R,1,,,f,0,0,1,,,,
ui_jackal_barrel_warn_primary_L,1,,,b,0,0,1,,,,
ui_jackal_barrel_warn_primary_R,1,,,b,0,0,1,,,,
ui_jackal_barrel_warn_secondary_L,1,,,b,0,0,1,,,,
ui_jackal_barrel_warn_secondary_R,1,,,b,0,0,1,,,,
ui_jackal_barrel_overheat_primary_L,1,,,b,0,0,1,,,,
ui_jackal_barrel_overheat_primary_R,1,,,b,0,0,1,,,,
ui_jackal_barrel_overheat_secondary_L,1,,,b,0,0,1,,,,
ui_jackal_barrel_overheat_secondary_R,1,,,b,0,0,1,,,,
ui_jackal_weapon_overheat,1,,,b,0,0,1,,,,
