00,audiologOmar,CAPCOMP_FILE_OMAR_NAME,CAPCOMP_OMAR_LOG_SUBTITLE,video,sc_world_epilogue_omar_ifwhen,hud_captain_computer_headshot_omar_mug,hud_captain_computer_unsa_id,93.0
01,audiologKash,CAPCOMP_FILE_KASH_NAME,CAPCOMP_KASH_LOG_SUBTITLE,video,sc_world_epilogue_kash_ifwhen,hud_captain_computer_headshot_kash_mug,hud_captain_computer_unsa_id,79.0
02,audiologGator2,CAPCOMP_FILE_GATOR_NAME,CAPCOMP_GATOR_LOG2_SUBTITLE,video,sc_world_epilogue_gator_ifwhen,hud_captain_computer_headshot_gator_mug,hud_captain_computer_unsa_id,83.0
03,audiologDrops,CAPCOMP_FILE_DO_NAME,CAPCOMP_DO_LOG_SUBTITLE,video,sc_world_epilogue_yetide_ifwhen,hud_captain_computer_headshot_drops_mug,hud_captain_computer_unsa_id,82.0
04,audiologMac,CAPCOMP_FILE_MAC_NAME,CAPCOMP_MAC_LOG_SUBTITLE,video,sc_world_epilogue_mac_ifwhen,hud_captain_computer_headshot_mac_mug,hud_captain_computer_unsa_id,64.0
05,audiologEthan,CAPCOMP_FILE_ETHAN_NAME,CAPCOMP_ETHAN_LOG_SUBTITLE,video,sc_world_epilogue_ethan_ifwhen,hud_captain_computer_headshot_ethan_mug,hud_captain_computer_unsa_id,69.0
06,audiologFerran2,CAPCOMP_FILE_FERRAN_NAME,CAPCOMP_FERRAN_LOG2_SUBTITLE,video,sc_world_epilogue_ferran_ifwhen,hud_captain_computer_headshot_ferran_mug,hud_captain_computer_unsa_id,78.0
07,audiologGibson,CAPCOMP_FILE_AIRBOSS_NAME,CAPCOMP_GIBSON_LOG_SUBTITLE,video,sc_world_epilogue_gibson_ifwhen,hud_captain_computer_headshot_gibson_mug,hud_captain_computer_unsa_id,86.0
08,audiologGriff,CAPCOMP_FILE_GRIFF_NAME,CAPCOMP_GRIFF_LOG_SUBTITLE,video,sc_world_epilogue_griff_ifwhen,hud_captain_computer_headshot_griff_mug,hud_captain_computer_unsa_id,97.0
09,hvtUpdate1,CAPCOMP_FILE_HVT_NAME,CAPCOMP_RIAH_LOG_SUBTITLE,video,sc_europa_hud_jackal_return_hvt,,,23.0
10,hvtUpdate4,CAPCOMP_FILE_HVT_NAME,CAPCOMP_RIAH_LOG2_SUBTITLE,video,sc_prisoner_world_hvt_briefing,,,28.0
11,kotchVideo,CAPCOMP_FILE_KOTCH_NAME,CAPCOMP_KOTCH_LOG_SUBTITLE,video,sc_world_kotch_full_hvt,,,34.0
12,audiologGriff2,CAPCOMP_ARMORY_INSPECTION,CAPCOMP_FILE_GRIFF_NAME,video,sc_world_epilogue_griff_audiolog,hud_captain_computer_headshot_griff_mug,hud_captain_computer_unsa_id,129.0
13,audiologSalter,CAPCOMP_PEER_REVIEW,CAPCOMP_FILE_SALTER_NAME,video,sc_world_epilogue_salter_audiolog,hud_captain_computer_headshot_salter_mug,hud_captain_computer_scar_id,164.0
14,audiologGator,CAPCOMP_BRIDGE_INTEL,CAPCOMP_FILE_GATOR_NAME,video,sc_world_epilogue_gator_audiolog,hud_captain_computer_headshot_gator_mug,hud_captain_computer_unsa_id,119.0
15,audiologFerran,CAPCOMP_RESCUE_DENIED,CAPCOMP_FILE_FERRAN_NAME,video,sc_world_epilogue_ferran_audiolog,hud_captain_computer_headshot_ferran_mug,hud_captain_computer_unsa_id,68.0
16,newsVideo1,CAPCOMP_INTEL_NEWS1_TITLE,CAPCOMP_INTEL_NEWS1_SUBTITLE,video,sc_europa_world_newscast,,,40.0
17,newsVideo2,CAPCOMP_INTEL_NEWS2_TITLE,CAPCOMP_INTEL_NEWS2_SUBTITLE,video,sc_titan_world_newscast,,,47.0
18,newsVideo3,CAPCOMP_INTEL_NEWS7_TITLE,CAPCOMP_INTEL_NEWS7_SUBTITLE,video,sc_rogue_world_newscast,,,40.0
19,newsVideo4,CAPCOMP_INTEL_NEWS3_TITLE,CAPCOMP_INTEL_NEWS3_SUBTITLE,video,sc_assault_world_newscast_assassination,,,40.0
20,newsVideo5,CAPCOMP_INTEL_NEWS4_TITLE,CAPCOMP_INTEL_NEWS4_SUBTITLE,video,sc_assault_world_newscast_empambush,,,40.0
21,newsVideo6,CAPCOMP_INTEL_NEWS5_TITLE,CAPCOMP_INTEL_NEWS5_SUBTITLE,video,sc_assault_world_newscast_vips,,,46.0
22,newsVideo7,CAPCOMP_INTEL_NEWS6_TITLE,CAPCOMP_INTEL_NEWS6_SUBTITLE,video,sc_assault_world_newscast_wounded,,,51.0
