0,none,MENU_NONE,MENU_NONE,weapon_missing_image,weapon_melee,weapon_missing_image,-1,45,45,2,0,45,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,MENU_NONE,,,TRUE,FALSE
1,iw7_ar57,WEAPON_AR57,PERKS_AR_AR57,render_weapon_slot_ar57_mp,weapon_assault,render_weapon_kbar_large,1,62,68,76,79,74,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicar57,none,0,MENU_NONE,full_auto_fire_mode,,FALSE,FALSE
2,iw7_ake,WEAPON_AKE,PERKS_AR_AKE,render_weapon_slot_ake_mpl,weapon_assault,render_weapon_ake_large,1,67,72,85,62,65,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicake,none,0,MENU_NONE,full_auto_fire_mode,,FALSE,TRUE
3,iw7_m4,WEAPON_M4,PERKS_AR_M4,render_weapon_slot_m4_mp,weapon_assault,render_weapon_m4_large,1,85,60,88,71,65,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicm4,none,0,MENU_NONE,full_auto_fire_mode,,FALSE,FALSE
4,iw7_sdfar,WEAPON_SDFAR,PERKS_AR_SDFAR,render_weapon_slot_sdfar_mp,weapon_assault,render_weapon_sdfar_large,1,76,70,78,80,65,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicsdfar,none,0,MENU_NONE,burst_fire_mode_3_round,,FALSE,TRUE
5,iw7_fmg,WEAPON_FMG,PERKS_AR_FMG,render_weapon_slot_fmg_mp,weapon_assault,weapon_fmg_360,1,81,57,92,82,65,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicfmg,none,0,WEAPON_FEATURE_FMG,full_auto_fire_mode,akimbo_action_fire_mode,FALSE,FALSE
6,iw7_nrg,WEAPON_NRG,PERKS_PISTOL_NRG,render_weapon_slot_nrg_mp,weapon_pistol,render_weapon_nrg_large,1,50,40,46,61,80,none,elo,reflex,none,phase,none,none,none,none,akimbo,none,none,xmags,none,reflect,barrelrange,silencer,none,none,epicnrg,none,0,WEAPON_FEATURE_NRG,full_auto_fire_mode,,FALSE,TRUE
7,iw7_emc,WEAPON_EMC,PERKS_PISTOL_EMC,render_weapon_slot_emc_mp,weapon_pistol,render_weapon_emc_large,1,60,60,58,70,80,none,elo,reflex,none,phase,none,none,none,none,akimbo,none,none,xmags,none,reflect,barrelrange,silencer,none,none,epicemc,none,0,MENU_NONE,semi_auto_fire_mode,,FALSE,TRUE
8,iw7_g18,WEAPON_G18,PERKS_PISTOL_G18,render_weapon_slot_g18_mp,weapon_pistol,weapon_g18_360,1,74,55,62,77,80,none,elo,reflex,none,phase,none,none,none,none,akimbo,none,none,xmags,none,none,barrelrange,silencer,none,none,epicg18,none,0,MENU_NONE,semi_auto_fire_mode,,FALSE,FALSE
9,iw7_erad,WEAPON_ERAD,PERKS_SMG_ERAD_SHOTGUN,render_weapon_slot_erad_mp,weapon_smg,render_weapon_erad_large,1,72,48,55,84,80,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicerad,none,0,WEAPON_FEATURE_ERAD,full_auto_fire_mode,semi_auto_fire_mode,FALSE,TRUE
