1,phase,attachment,1
2,grip,attachment,1
3,smart,attachment,2
4,barrelrange,attachment,2
5,akimbo,attachment,2
6,vzscope,attachment,2
7,epicar57,attachment,3
8,epicg18,attachment,3
9,xmags,attachment,3
10,hybrid,attachment,3
11,epicm4,attachment,4
12,epicemc,attachment,4
13,reflect,attachment,4
14,cpu,attachment,4
15,thermal,attachment,4
16,epicripper,attachment,5
17,epicake,attachment,5
18,rof,attachment,5
19,oscope,attachment,5
20,epicump45,attachment,6
21,elo,attachment,6
22,epiclmg03,attachment,7
23,epicnrg,attachment,7
24,epiccrb,attachment,8
25,epickbs,attachment,8
26,epicsonic,attachment,9
27,epicsdfar,attachment,9
28,epicmauler,attachment,10
29,epicsdfshotty,attachment,10
30,epicsdflmg,attachment,11
31,epicfmg,attachment,12
32,epicfhr,attachment,13
33,epicm8,attachment,13
34,epicdevastator,attachment,14
35,epicerad,attachment,14
