1,weapon_iw7_ake_common_1,iw7_ake,5,200,1000001,1,AssaultRifle,N,Y,None,0,0,0,0
5001,weapon_iw7_ake_common_1_mk2,iw7_ake,10,0,1005001,1,AssaultRifle,Y,Y,None,0,3,0,0
2,weapon_iw7_ake_rare_1,iw7_ake,20,500,1000002,2,AssaultRifle,N,Y,None,0,0,0,0
5002,weapon_iw7_ake_rare_1_mk2,iw7_ake,40,0,1005002,2,AssaultRifle,Y,Y,None,0,3,0,0
3,weapon_iw7_ake_legendary_1,iw7_ake,100,2000,1000003,3,AssaultRifle,N,Y,None,0,0,0,0
5003,weapon_iw7_ake_legendary_1_mk2,iw7_ake,200,0,1005003,3,AssaultRifle,Y,Y,None,0,3,0,0
4,weapon_iw7_ake_epic_1,iw7_ake,250,4000,1000004,4,AssaultRifle,N,Y,None,0,0,0,0
5004,weapon_iw7_ake_epic_1_mk2,iw7_ake,500,0,1005004,4,AssaultRifle,Y,Y,None,0,3,0,0
5,weapon_iw7_ake_epic_2,iw7_ake,250,4000,1000005,4,AssaultRifle,N,Y,None,0,0,0,0
5005,weapon_iw7_ake_epic_2_mk2,iw7_ake,500,0,1005005,4,AssaultRifle,Y,Y,None,0,3,0,0
6,weapon_iw7_ar57_common_1,iw7_ar57,5,200,1000006,1,AssaultRifle,N,Y,None,0,0,0,0
5006,weapon_iw7_ar57_common_1_mk2,iw7_ar57,10,0,1005006,1,AssaultRifle,Y,Y,None,0,3,0,0
7,weapon_iw7_ar57_rare_1,iw7_ar57,20,500,1000007,2,AssaultRifle,N,Y,None,0,0,0,0
5007,weapon_iw7_ar57_rare_1_mk2,iw7_ar57,40,0,1005007,2,AssaultRifle,Y,Y,None,0,3,0,0
8,weapon_iw7_ar57_legendary_1,iw7_ar57,100,2000,1000008,3,AssaultRifle,N,Y,None,0,0,0,0
5008,weapon_iw7_ar57_legendary_1_mk2,iw7_ar57,200,0,1005008,3,AssaultRifle,Y,Y,None,0,3,0,0
9,weapon_iw7_ar57_epic_1,iw7_ar57,250,4000,1000009,4,AssaultRifle,N,Y,None,0,0,0,0
5009,weapon_iw7_ar57_epic_1_mk2,iw7_ar57,500,0,1005009,4,AssaultRifle,Y,Y,None,0,3,0,0
10,weapon_iw7_cheytac_common_1,iw7_cheytac,5,200,1000010,1,Sniper,N,Y,3,10,0,0,0
5010,weapon_iw7_cheytac_common_1_mk2,iw7_cheytac,0,0,1005010,1,Sniper,Y,Y,3,60,4,0,0
11,weapon_iw7_cheytac_rare_1,iw7_cheytac,20,500,1000011,2,Sniper,N,Y,1,20,0,0,0
5011,weapon_iw7_cheytac_rare_1_mk2,iw7_cheytac,0,0,1005011,2,Sniper,Y,Y,1,70,4,0,0
12,weapon_iw7_cheytac_legendary_1,iw7_cheytac,100,2000,1000012,3,Sniper,N,Y,2,30,0,0,0
5012,weapon_iw7_cheytac_legendary_1_mk2,iw7_cheytac,0,0,1005012,3,Sniper,Y,Y,2,80,4,0,0
13,weapon_iw7_cheytac_epic_1,iw7_cheytac,250,4000,1000013,4,Sniper,N,Y,3,50,0,0,0
5013,weapon_iw7_cheytac_epic_1_mk2,iw7_cheytac,0,0,1005013,4,Sniper,Y,Y,3,100,4,0,0
14,weapon_iw7_crb_common_1,iw7_crb,5,200,1000014,1,SMG,N,Y,1,10,0,0,0
5014,weapon_iw7_crb_common_1_mk2,iw7_crb,0,0,1005014,1,SMG,Y,Y,1,60,4,0,0
15,weapon_iw7_crb_rare_1,iw7_crb,20,500,1000015,2,SMG,N,Y,3,20,0,0,0
