70000,CommonCrate,0,1000,0,75000,LUA_MENU_MP_SUPPLY_DROP_COMMON,armory_loot_crate_common,LUA_MENU_MP_COMMON_SUPPLY_DESC,0,0,0,0,0,1
70001,EnlistedCrate,1,3000,200,75001,LUA_MENU_MP_SUPPLY_DROP_RARE,armory_loot_crate_rare,LUA_MENU_MP_RARE_SUPPLY_DESC,0,0,0,0,0,2
70002,ZombieCrate,2,1000,0,75002,LUA_MENU_ZM_COMMON_ZOMBIE_SUPPLY_DROP,armory_zombie_loot_crate_common,LUA_MENU_ZM_COMMON_ZOMBIE_SUPPLY_DROP_DESC,0,0,0,0,0,0
70003,ZombieRareCrate,3,3000,200,75003,LUA_MENU_ZM_RARE_ZOMBIE_SUPPLY_DROP,armory_zombie_loot_crate_rare,LUA_MENU_ZM_RARE_ZOMBIE_SUPPLY_DROP_DESC,0,0,0,0,0,0
70004,ZombieCardPack,4,0,0,0,LUA_MENU_ZM_COMMON_CARD_PACK,armory_loot_crate_common,,0,0,0,0,0,0
70005,ZombieRareCardPack,5,0,0,0,LUA_MENU_ZM_RARE_CARD_PACK,armory_loot_crate_rare,,0,0,0,0,0,0
70006,RnGCrate,6,15000,1000,75006,LUA_MENU_MP_BRIBE_QM_COLLECTION,icon_bribe_qmaster_collection,LUA_MENU_MP_BRIBE_QM_COLLECTION_DESC,0,0,1,0,0,0
70007,XmasEvent1,7,0,0,0,LUA_MENU_MP_XMAS_EVENT1,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT1_DESC,0,0,0,0,0,0
70008,XmasEvent2,8,0,0,0,LUA_MENU_MP_XMAS_EVENT2,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT2_DESC,0,0,0,0,0,0
70009,XmasEvent3,9,0,0,0,LUA_MENU_MP_XMAS_EVENT3,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT3_DESC,0,0,0,0,0,0
70010,XmasEvent4,10,0,0,0,LUA_MENU_MP_XMAS_EVENT4,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT4_DESC,0,0,0,0,0,0
70011,XmasEvent5,11,0,0,0,LUA_MENU_MP_XMAS_EVENT5,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT5_DESC,0,0,0,0,0,0
70012,XmasEvent6,12,0,0,0,LUA_MENU_MP_XMAS_EVENT6,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT6_DESC,0,0,0,0,0,0
70013,XmasEvent7,13,0,0,0,LUA_MENU_MP_XMAS_EVENT7,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT7_DESC,0,0,0,0,0,0
70014,XmasEvent8,14,0,0,0,LUA_MENU_MP_XMAS_EVENT8,armory_loot_crate_holiday,LUA_MENU_MP_XMAS_EVENT8_DESC,0,0,0,0,0,0
