kill_enemies,CP_JACKAL_ASS_OBJECTIVES_KILL_ENEMIES,CP_JACKAL_ASS_OBJECTIVES_KILL_ENEMIES_DESC,,1000,2,1,1,1,mp_splash_screen_default
breach_ship,CP_JACKAL_ASS_OBJECTIVES_BREACH_SHIP,,,8,2,1,1,1,mp_splash_screen_default
ship_defenses,CP_JACKAL_ASS_OBJECTIVES_SPACE_1,,,8,2,1,1,1,mp_splash_screen_default
enter_airlock,CP_JACKAL_ASS_OBJECTIVES_SPACE_2,,,8,2,1,1,1,mp_splash_screen_default
plant_charges,CP_JACKAL_ASS_OBJECTIVES_PLANT_EXPLOSIVES,CP_JACKAL_ASS_OBJECTIVES_PLANT_EXPLOSIVES_DESC,,1000,2,1,1,1,mp_splash_screen_default
get_manifest,CP_JACKAL_ASS_OBJECTIVES_MANIFEST,,,8,2,1,1,1,mp_splash_screen_default
enter_cargo,CP_JACKAL_ASS_OBJECTIVES_ENTER_CARGO,,,8,2,1,1,1,mp_splash_screen_default
clear_cargo,CP_JACKAL_ASS_OBJECTIVES_CLEAR_CARGO,,,8,2,1,1,1,mp_splash_screen_default
lower_cargo,CP_JACKAL_ASS_OBJECTIVES_LOWER_CONTAINER,,,8,2,1,1,1,mp_splash_screen_default
clear_area,CP_JACKAL_ASS_OBJECTIVES_CLEAR_AREA,,,8,2,1,1,1,mp_splash_screen_default
enter_hanger,CP_JACKAL_ASS_OBJECTIVES_HANGAR_DOOR,,,8,2,1,1,1,mp_splash_screen_default
goto_barracks,CP_JACKAL_ASS_OBJECTIVES_GOTO_BARRACKS,,,8,2,1,1,1,mp_splash_screen_default
rescue_crew,CP_JACKAL_ASS_OBJECTIVES_RESCUE_CREW,,,8,2,1,1,1,mp_splash_screen_default
protect_vip,CP_JACKAL_ASS_OBJECTIVES_PROTECT_VIP,,,8,2,1,1,1,mp_splash_screen_default
enter_robotics,CP_JACKAL_ASS_OBJECTIVES_ENTER_ROBOTICS,,,8,2,1,1,1,mp_splash_screen_default
follow_vip,CP_JACKAL_ASS_OBJECTIVES_FOLLOW_VIP,,,8,2,1,1,1,mp_splash_screen_default
goto_bridge,CP_JACKAL_ASS_OBJECTIVES_GO_TO_BRIDGE,,,8,2,1,1,1,mp_splash_screen_default
launch_pods,CP_JACKAL_ASS_OBJECTIVES_LAUNCH_PODS,,,8,2,1,1,1,mp_splash_screen_default
escape_hanger,CP_JACKAL_ASS_OBJECTIVES_ESCAPE_TO_HANGAR,,,8,2,1,1,1,mp_splash_screen_default
steal_jackal,CP_JACKAL_ASS_OBJECTIVES_STEAL_JACKAL,,,8,2,1,1,1,mp_splash_screen_default
activate_c6,CP_JACKAL_ASS_OBJECTIVES_ACTIVATE_C6,,,8,2,1,1,1,mp_splash_screen_default
protect_crew,CP_JACKAL_ASS_OBJECTIVES_PROTECT_CREW,,,8,2,1,1,1,mp_splash_screen_default
clear_bridge,CP_JACKAL_ASS_OBJECTIVES_CLEAR_BRIDGE,,,8,2,1,1,1,mp_splash_screen_default
eliminate_jackals,CP_JACKAL_ASS_OBJECTIVES_ELIMINATE_JACKALS,CP_JACKAL_ASS_OBJECTIVES_ELIMINATE_JACKALS_DESC,,10000,2,1,1,1,mp_splash_screen_default
mined_resources,CP_TITAN_OBJECTIVES_MINED_RESOURCES,CP_TITAN_OBJECTIVES_MINED_RESOURCES_DESC,,100000,2,1,1,1,mp_splash_screen_default
activate_c6_titan,CP_TITAN_OBJECTIVES_ACTIVATE_C6_TITAN,,,100,2,1,1,1,mp_splash_screen_default
c6_hacking,CP_FRIENDLY_C6_HACKING,CP_FRIENDLY_C6_HACKING_PROGRESS,,100000,2,1,1,1,mp_splash_screen_default
get_schematic,CP_TITAN_OBJECTIVES_GET_SCHEMATIC,CP_FRIENDLY_C6_HACKING,,10000,2,1,1,1,mp_splash_screen_default
place_generator,CP_TITAN_OBJECTIVES_PLACE_GENERATOR,CP_FRIENDLY_C6_HACKING,,10000,2,1,1,1,mp_splash_screen_default
