0,ForwardAction,MENU_FORWARD,+forward,Y,Y,Y
1,BackAction,MENU_MOVE_BACK,+back,Y,Y,Y
2,MoveLeftAction,MENU_MOVE_LEFT,+moveleft,Y,Y,Y
3,MoveRightAction,MENU_MOVE_RIGHT,+moveright,Y,Y,Y
4,GoStandAction,MENU_STANDJUMP,+gostand,Y,Y,Y
5,ToggleCrouchAction,MENU_CROUCH,+togglecrouch,Y,Y,Y
6,ToggleProneAction,MENU_PRONE,toggleprone,Y,Y,Y
7,BreathSprintAction,MENU_SPRINT_HOLD_BREATH,+breath_sprint,Y,Y,Y
8,MoveDownAction,MENU_HOLD_DOWN_CROUCH,+movedown,Y,Y,Y
9,ProneAction,MENU_HOLD_DOWN_PRONE,+prone,Y,Y,Y
10,StanceAction,MENU_CHANGE_STANCE,+stance,Y,Y,Y
11,SlideAction,MENU_SLIDE,+slide,Y,Y,Y
12,SprintAction,MENU_SPRINT,+sprint,Y,Y,Y
13,HoldBreathAction,MENU_HOLD_BREATH,+holdbreath,Y,Y,Y
14,RigMovementAction,MENU_RIG_MOVEMENT,+specialmove,,Y,
15,LeftAction,MENU_TURN_LEFT,+left,Y,Y,Y
16,RightAction,MENU_TURN_RIGHT,+right,Y,Y,Y
17,StrafeAction,MENU_STRAFE,+strafe,Y,Y,Y
18,RollLeftAction,MENU_ROLL_LEFT,+rollleft,Y,,
19,RollRightAction,MENU_ROLL_RIGHT,+rollright,Y,,
