iw7_ar57+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_ar57,>=,0,OR,dvar,onlinegame,==,0
iw7_ar57+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_ar57,>=,1,OR,dvar,onlinegame,==,0
iw7_ar57+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_ar57,>=,3,OR,dvar,onlinegame,==,0
iw7_ar57+4,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,4,,level.common,weapon.iw7_ar57,>=,5,OR,dvar,onlinegame,==,0
iw7_ar57+5,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,5,,level.common,weapon.iw7_ar57,>=,7,OR,dvar,onlinegame,==,0
iw7_ar57+6,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,6,,level.common,weapon.iw7_ar57,>=,9,OR,dvar,onlinegame,==,0
iw7_ake+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_ake,>=,0,OR,dvar,onlinegame,==,0
iw7_ake+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_ake,>=,1,OR,dvar,onlinegame,==,0
iw7_ake+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_ake,>=,3,OR,dvar,onlinegame,==,0
iw7_ake+4,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,4,,level.common,weapon.iw7_ake,>=,5,OR,dvar,onlinegame,==,0
iw7_ake+5,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,5,,level.common,weapon.iw7_ake,>=,7,OR,dvar,onlinegame,==,0
iw7_ake+6,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,6,,level.common,weapon.iw7_ake,>=,9,OR,dvar,onlinegame,==,0
iw7_m4+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_m4,>=,0,OR,dvar,onlinegame,==,0
iw7_m4+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_m4,>=,1,OR,dvar,onlinegame,==,0
iw7_m4+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_m4,>=,3,OR,dvar,onlinegame,==,0
iw7_m4+4,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,4,,level.common,weapon.iw7_m4,>=,5,OR,dvar,onlinegame,==,0
iw7_m4+5,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,5,,level.common,weapon.iw7_m4,>=,7,OR,dvar,onlinegame,==,0
iw7_m4+6,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,6,,level.common,weapon.iw7_m4,>=,9,OR,dvar,onlinegame,==,0
