iw7_revolver,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,2,,level.cp,player,>=,1,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_lockon,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,4,,level.cp,player,>=,3,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_m1c,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,5,,level.cp,player,>=,4,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_sonic,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,6,,level.cp,player,>=,5,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_g18,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,8,,level.cp,player,>=,7,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_glprox,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,9,,level.cp,player,>=,8,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_erad,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,11,,level.cp,player,>=,10,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_ump45,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,12,,level.cp,player,>=,11,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_emc,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,13,,level.cp,player,>=,12,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_kbs,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,15,,level.cp,player,>=,14,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_ake,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,16,,level.cp,player,>=,15,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_sdfar,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,17,,level.cp,player,>=,16,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_lmg03,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,18,,level.cp,player,>=,17,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_ripper,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,19,,level.cp,player,>=,18,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_cheytacc,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,21,,level.cp,player,>=,20,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_crb,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,22,,level.cp,player,>=,21,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_devastator,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,23,,level.cp,player,>=,22,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_m4,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,24,,level.cp,player,>=,23,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_nrg,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,25,,level.cp,player,>=,24,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_chargeshot,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,26,,level.cp,player,>=,25,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_fhr,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,27,,level.cp,player,>=,26,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_m1,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,28,,level.cp,player,>=,27,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_mauler,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,29,,level.cp,player,>=,28,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_sdfshotty,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,30,,level.cp,player,>=,29,OR,dvar,onlinegame,==,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
