iw7_lockon,,,,system,gamemode,!=,MP
iw7_glprox,,,,system,gamemode,!=,MP
iw7_chargeshot,,,,system,gamemode,!=,MP
iw7_lmg03,,,,system,gamemode,!=,MP
iw7_mauler,,,,system,gamemode,!=,MP
iw7_sdflmg,,,,system,gamemode,!=,MP
iw7_devastator,,,,system,gamemode,!=,MP
iw7_sdfshotty,,,,system,gamemode,!=,MP
iw7_sonic,,,,system,gamemode,!=,MP
iw7_spas,,,,system,gamemode,!=,MP
iw7_spasc,,,,system,gamemode,!=,MP
iw7_g18c,,,,system,gamemode,!=,MP
iw7_arclassic,,,,system,gamemode,!=,MP
iw7_m1c,,,,system,gamemode,!=,MP
iw7_rvn,,,,system,gamemode,!=,MP
iw7_udm45,,,,system,gamemode,!=,MP
iw7_vr,,,,system,gamemode,!=,MP
iw7_crdb,,,,system,gamemode,!=,MP
iw7_minilmg,,,,system,gamemode,!=,MP
iw7_mp28,,,,system,gamemode,!=,MP
iw7_ba50cal,,,,system,gamemode,!=,MP
iw7_mod2187,,,,system,gamemode,!=,MP
iw7_gauss,,,,system,gamemode,!=,MP
iw7_longshot,,,,system,gamemode,!=,MP
iw7_mag_mp,,,,system,gamemode,!=,MP
iw7_unsalmg_mp,,,,system,gamemode,!=,MP
iw7_tacburst_mp,,,,system,gamemode,!=,MP
iw7_venomx,,,,system,gamemode,!=,MP
