operations,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,1,,level.mp,player,>=,0,OR,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1
rigs,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,10,,level.mp,player,>=,9,OR,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1
loot,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,15,,level.mp,player,>=,14,OR,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1
equipment,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,20,,level.mp,player,>=,19,OR,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1
scorestreaks,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,25,,level.mp,player,>=,24,OR,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1
prestige,LUA_MENU_MP_UNLOCKED_AT_PRESTIGE_LEVEL,1,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,1,,,,,
darkops,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,1,,level.mp,player,>=,0,,,,,
loot,LUA_MENU_MP_UNLOCKED_AT_PLAYER_LEVEL,1,,level.mp,player,>=,0,,,,,
bootcamp,,,,unlocked,challenge:operations,==,TRUE,,,,,
gamemodevictories,,,,unlocked,challenge:operations,==,TRUE,,,,,
gamemodeheroics,,,,unlocked,challenge:operations,==,TRUE,,,,,
career,,,,unlocked,challenge:operations,==,TRUE,,,,,
killer,,,,unlocked,challenge:operations,==,TRUE,,,,,
humiliation,,,,unlocked,challenge:operations,==,TRUE,,,,,
lethal,,,,unlocked,challenge:equipment,==,TRUE,,,,,
tactical,,,,unlocked,challenge:equipment,==,TRUE,,,,,
feats,,,,unlocked,challenge:equipment,==,TRUE,,,,,
combathandling,,,,unlocked,challenge:prestige,==,TRUE,,,,,
combatefficiency,,,,unlocked,challenge:prestige,==,TRUE,,,,,
perk_1,,,,unlocked,challenge:prestige,==,TRUE,,,,,
perk_2,,,,unlocked,challenge:prestige,==,TRUE,,,,,
perk_3,,,,unlocked,challenge:prestige,==,TRUE,,,,,
airassault,,LUA_MENU_CAMO_07,,unlocked,challenge:scorestreaks,==,TRUE,,,,,
groundassault,,LUA_MENU_CAMO_27,,unlocked,challenge:scorestreaks,==,TRUE,,,,,
support,,LUA_MENU_CAMO_41,,unlocked,challenge:scorestreaks,==,TRUE,,,,,
returnfire,,LUA_MENU_CAMO_48,,unlocked,challenge:scorestreaks,==,TRUE,,,,,
rigweapons,,LUA_MENU_CAMO_45,,unlocked,challenge:rigs,==,TRUE,,,,,
rigabilities,,LUA_MENU_CAMO_44,,unlocked,challenge:rigs,==,TRUE,,,,,
rigtraits,,,,unlocked,challenge:rigs,==,TRUE,,,,,
rigkilljoys,,,,unlocked,challenge:rigs,==,TRUE,,,,,
outfitter,,,,unlocked,challenge:loot,==,TRUE,,,,,
ch_iw7_nrg_headshot,MP_FRONTEND_ONLY_REQUIRES_CAMO,LUA_MENU_CAMO_07,,playerdata.mp,rankedMatchData.challengeState.ch_iw7_nrg,>=,4,,,,,
ch_iw7_nrg_pointblank,MP_FRONTEND_ONLY_REQUIRES_CAMO,LUA_MENU_CAMO_27,,playerdata.mp,rankedMatchData.challengeState.ch_iw7_nrg_headshot,>=,1,,,,,
