iw7_arclassic_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,12
iw7_g18c_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,16
iw7_ump45c_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,14
iw7_cheytacc_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,18
iw7_spasc_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,22
iw7_m1c_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,20
iw7_knife_nuke,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,30
iw7_arclassic_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,24
iw7_g18c_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,26
iw7_ump45c_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,25
iw7_cheytacc_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,27
iw7_spasc_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,29
iw7_m1c_extra_ammo,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,28
weapon_pistol_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,23
weapon_smg_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,15
weapon_sniper_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,19
weapon_shotgun_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,21
weapon_assault_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,13
weapon_lmg_mk_ii_bonus,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,17
bonus_challenge_xp,,,,playerdata.mp,rankedMatchData.progression.playerLevel.prestige,>=,11
