0,none,30,0.5,2,1,.7,2,120,.8,2,240,.9,2,480,1,2
1,iw7_ar57_mp,150,0.5,4,220,.7,5,290,.8,6,360,.9,7,430,1,8
2,iw6_lsat_mp,130,0.5,3,180,.7,3,230,.8,3,280,.9,3,330,1,3
3,iw7_devastator_mp,160,0.5,1,300,.7,1,440,.8,1,580,.9,1,720,1,1
4,iw7_ake_mp,150,0.5,4,220,.7,5,290,.8,6,360,.9,7,430,1,8
5,iw7_m1_mp,105,0.5,3,200,.7,6,295,.8,9,390,.9,12,485,1,15
6,iw7_nrg_mp,150,0.5,3.5,300,.7,3.5,450,.8,3.5,600,.9,3.5,750,1,3.5
7,iw7_chargeshot_mp,1000,0.5,3,1000,.7,2,1000,.8,2,1000,.9,2,1000,1,2
8,iw7_glprox_mp,1000,0.5,3,1000,.7,2,1000,.8,2,1000,.9,2,1000,1,2
9,iw7_spas_mp,160,0.5,1,300,.7,1,440,.8,1,580,.9,1,720,1,1
10,iw7_crb_mp,100,0.5,4,200,.7,5,300,.8,6,400,.9,7,500,1,8
11,iw7_erad_mp,120,0.5,4,190,.7,5,260,.8,6,330,.9,7,400,1,8
12,iw7_forge_mp,100,0.5,1,200,0.5,1,300,0.5,1,400,0.5,1,500,0.5,1
13,iw7_kbs_mp,300,1.5,4,500,2,6,700,3,8,1000,4,10,1000,5,10
14,iw7_cheytac_mp,300,1.5,4,500,2,6,700,3,8,1000,4,10,1000,5,10
15,iw7_m8_mp,300,1.5,4,500,2,6,700,3,8,1000,4,10,1000,5,10
16,iw6_dlcweap02_mp,120,0.5,4,190,.7,5,260,.8,6,330,.9,7,400,1,8
17,iw6_p226_mp,25,.8,3.5,300,.9,4.5,450,1,5.5,600,1,6.5,750,1,7.5
18,iw6_magnum_mp,1000,0.5,3,1000,.7,2,1000,.8,2,1000,.9,2,1000,1,2
19,iw6_mp443_mp,150,0.5,3.5,300,.7,3.5,450,.8,3.5,600,.9,3.5,750,1,3.5
20,iw6_m9a1_mp,150,0.5,3.5,300,.7,3.5,450,.8,3.5,600,.9,3.5,750,1,3.5
21,iw6_axe_mp,500,1,1,750,1,1,1000,1,1,1500,1,1,2000,1,1
