1,music_mainmenu_cp_main,0,145000
2,music_mainmenu_cp_mw2,1,108500
3,music_mainmenu_cp_mw1,2,201500
4,music_mainmenu_cp_rave_hidden,3,280000
5,music_mainmenu_cp_disco_hidden,4,239000
6,music_mainmenu_cp_town_hidden,5,229000
7,music_mainmenu_cp_final_hidden,6,212000
8,music_mainmenu_cp_perk_01_upnatoms,7,50000
9,music_mainmenu_cp_perk_02_racinstripes,7,48001
10,music_mainmenu_cp_perk_03_slappytaffy,7,53200
11,music_mainmenu_cp_perk_04_bombstoppers,8,56581
12,music_mainmenu_cp_perk_05_tuffnuff,8,65500
13,music_mainmenu_cp_perk_06_bangbangs,8,56000
14,music_mainmenu_cp_perk_11_deadeyedewdrops,9,42200
15,music_mainmenu_cp_perk_08_quickies,9,25233
16,music_mainmenu_cp_perk_09_mulemunchies,9,50000
17,music_mainmenu_cp_perk_10_trailblazers,10,59600
18,music_mainmenu_cp_perk_07_bluebolts,10,52049
19,music_mainmenu_cp_perk_12_changechews,10,32000
20,music_mainmenu_cp_dlc4_boss_battle,11,101161
21,music_mainmenu_cp_afterlifearcade,11,201000
22,music_mainmenu_cp_ext_lobby,11,118000
