1,afterlife,ZM_TUTORIALS_AFTERLIFE,,ZM_TUTORIALS_AFTERLIFE_TITLE,1,1
2,atm,ZM_TUTORIALS_ATM,,ZM_TUTORIALS_ATM_TITLE,1,1
3,door_buy,ZM_TUTORIALS_DOOR_BUY,,ZM_TUTORIALS_DOOR_BUY_TITLE,1,1
4,cards,ZM_TUTORIALS_FORTUNE_DECK,,ZM_TUTORIALS_FORTUNE_DECK_TITLE,1,1
5,wondercard_machine,ZM_TUTORIALS_FORTUNE_CARD_MACHINE,,ZM_TUTORIALS_FORTUNE_CARD_MACHINE_TITLE,1,1
6,lost_and_found,ZM_TUTORIALS_LOST_AND_FOUND,lostandfound,ZM_TUTORIALS_LOST_AND_FOUND_TITLE,1,1
7,magic_wheel,ZM_TUTORIALS_MAGIC_WHEEL,,ZM_TUTORIALS_MAGIC_WHEEL_TITLE,1,1
8,quest_neil,ZM_TUTORIALS_NEIL,hud_icon_zmb_challenge,ZM_TUTORIALS_NEIL_TITLE,1,1
9,pap,ZM_TUTORIALS_PACK_A_PUNCH,,ZM_TUTORIALS_PACK_A_PUNCH_TITLE,1,1
10,perk,ZM_TUTORIALS_PERKS,cp_zmb_perk_icon_revive,ZM_TUTORIALS_PERKS_TITLE,1,1
11,pillage_item,ZM_TUTORIALS_PILLAGE,,ZM_TUTORIALS_PILLAGE_TITLE,1,1
12,generator,ZM_TUTORIALS_POWER_SWITCHES,,ZM_TUTORIALS_POWER_SWITCHES_TITLE,1,1
13,powerups,ZM_TUTORIALS_POWER_UPS,cp_zmb_powerup_instakill,ZM_TUTORIALS_POWER_UPS_TITLE,1,1
14,quest,ZM_TUTORIALS_QUESTS,,ZM_TUTORIALS_QUESTS_TITLE,1,1
15,scenes,ZM_TUTORIALS_SCENES,,ZM_TUTORIALS_SCENES_TITLE,1,1
16,souvenir_coin,ZM_TUTORIALS_SOUVENIR_COINS,cp_zmb_coin_alien,ZM_TUTORIALS_SOUVENIR_COINS_TITLE,1,1
17,souvenir_station,ZM_TUTORIALS_SOUVENIR_STATIONS,,ZM_TUTORIALS_SOUVENIR_STATIONS_TITLE,1,1
18,craftable,ZM_TUTORIALS_CRAFTABLE,,ZM_TUTORIALS_CRAFTABLE_TITLE,1,1
19,team_door_buy,ZM_TUTORIALS_TEAM_DOOR_BUY,door_buy_meter,ZM_TUTORIALS_TEAM_DOOR_BUY_TITLE,1,1
20,tickets,ZM_TUTORIALS_TICKETS,cp_zmb_ticket,ZM_TUTORIALS_TICKETS_TITLE,1,1
21,trap,ZM_TUTORIALS_TRAPS,,ZM_TUTORIALS_TRAPS_TITLE,1,1
22,window_board,ZM_TUTORIALS_WINDOW_BOARDING,,ZM_TUTORIALS_WINDOW_BOARDING_TITLE,1,1
23,wall_buy,ZM_TUTORIALS_WALL_BUY,,ZM_TUTORIALS_WALL_BUY_TITLE,1,1
24,zombiehealth,ZM_TUTORIALS_ZOMBIE_HEALTH,,ZM_TUTORIALS_ZOMBIE_HEALTH_TITLE,1,1
