rig,archetype_assault,
super,super_claw,archetype_assault
trait,specialty_null,archetype_assault
super,super_steeldragon,archetype_heavy
trait,specialty_null,archetype_heavy
super,super_atomizer,archetype_assassin
trait,specialty_null,archetype_assassin
super,super_blackholegun,archetype_engineer
trait,specialty_null,archetype_engineer
super,super_penetrationrailgun,archetype_sniper
trait,specialty_null,archetype_sniper
weapon1,iw7_m4,
weapon2,iw7_emc,
power1,power_clusterGrenade,
power2,none,
perk1,specialty_blastshield,
perk2,specialty_stun_resistance,
perk3,specialty_sprintfire,
