iw7_mauler+highcal,,,,system,gamemode,!=,MP
iw7_mauler+phase,,,,system,gamemode,!=,MP
iw7_mauler+silencer,,,,system,gamemode,!=,MP
iw7_sdflmg+xmagse,,,,system,gamemode,!=,MP
iw7_sdflmg+highcal,,,,system,gamemode,!=,MP
iw7_sdflmg+reflect,,,,system,gamemode,!=,MP
iw7_sdflmg+phase,,,,system,gamemode,!=,MP
iw7_sdflmg+silencer,,,,system,gamemode,!=,MP
iw7_lmg03+xmagse,,,,system,gamemode,!=,MP
iw7_lmg03+highcal,,,,system,gamemode,!=,MP
iw7_lmg03+reflect,,,,system,gamemode,!=,MP
iw7_lmg03+phase,,,,system,gamemode,!=,MP
iw7_lmg03+silencer,,,,system,gamemode,!=,MP
iw7_minilmg+highcal,,,,system,gamemode,!=,MP
iw7_minilmg+phase,,,,system,gamemode,!=,MP
iw7_minilmg+silencer,,,,system,gamemode,!=,MP
iw7_unsalmg+xmagse,,,,system,gamemode,!=,MP
iw7_unsalmg+highcal,,,,system,gamemode,!=,MP
iw7_unsalmg+reflect,,,,system,gamemode,!=,MP
iw7_unsalmg+phase,,,,system,gamemode,!=,MP
iw7_unsalmg+silencer,,,,system,gamemode,!=,MP
