iw7_nrg+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_nrg,>=,0,OR,dvar,onlinegame,==,0
iw7_nrg+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_nrg,>=,1,OR,dvar,onlinegame,==,0
iw7_nrg+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_nrg,>=,3,OR,dvar,onlinegame,==,0
iw7_nrg+4,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,4,,level.common,weapon.iw7_nrg,>=,5,OR,dvar,onlinegame,==,0
iw7_nrg+5,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,5,,level.common,weapon.iw7_nrg,>=,7,OR,dvar,onlinegame,==,0
iw7_nrg+6,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,6,,level.common,weapon.iw7_nrg,>=,9,OR,dvar,onlinegame,==,0
iw7_g18+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_g18,>=,0,OR,dvar,onlinegame,==,0
iw7_g18+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_g18,>=,1,OR,dvar,onlinegame,==,0
iw7_g18+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_g18,>=,3,OR,dvar,onlinegame,==,0
iw7_g18+4,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,4,,level.common,weapon.iw7_g18,>=,5,OR,dvar,onlinegame,==,0
iw7_g18+5,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,5,,level.common,weapon.iw7_g18,>=,7,OR,dvar,onlinegame,==,0
iw7_g18+6,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,6,,level.common,weapon.iw7_g18,>=,9,OR,dvar,onlinegame,==,0
iw7_emc+1,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,1,,level.common,weapon.iw7_emc,>=,0,OR,dvar,onlinegame,==,0
iw7_emc+2,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,2,,level.common,weapon.iw7_emc,>=,1,OR,dvar,onlinegame,==,0
iw7_emc+3,LUA_MENU_MP_UNLOCKED_AT_WEAPON_LEVEL,3,,level.common,weapon.iw7_emc,>=,3,OR,dvar,onlinegame,==,0
