iw7_nrg+akimbo,,,,system,gamemode,!=,MP
iw7_nrg+reflect,,,,system,gamemode,!=,MP
iw7_nrg+xmagse,,,,system,gamemode,!=,MP
iw7_nrg+highcal,,,,system,gamemode,!=,MP
iw7_nrg+phase,,,,system,gamemode,!=,MP
iw7_nrg+silencer,,,,system,gamemode,!=,MP
iw7_g18+akimbo,,,,system,gamemode,!=,MP
iw7_g18+firetypeauto,,,,system,gamemode,!=,MP
iw7_g18+highcal,,,,system,gamemode,!=,MP
iw7_g18+phase,,,,system,gamemode,!=,MP
iw7_g18+silencer,,,,system,gamemode,!=,MP
iw7_emc+akimbo,,,,system,gamemode,!=,MP
iw7_emc+firetypeauto,,,,system,gamemode,!=,MP
iw7_emc+reflect,,,,system,gamemode,!=,MP
iw7_emc+xmagse,,,,system,gamemode,!=,MP
iw7_emc+highcal,,,,system,gamemode,!=,MP
iw7_emc+phase,,,,system,gamemode,!=,MP
iw7_emc+silencer,,,,system,gamemode,!=,MP
iw7_revolver+akimbo,,,,system,gamemode,!=,MP
iw7_revolver+highcal,,,,system,gamemode,!=,MP
iw7_revolver+phase,,,,system,gamemode,!=,MP
iw7_revolver+silencer,,,,system,gamemode,!=,MP
iw7_udm45+akimbo,,,,system,gamemode,!=,MP
iw7_udm45+highcal,,,,system,gamemode,!=,MP
iw7_udm45+phase,,,,system,gamemode,!=,MP
iw7_udm45+silencer,,,,system,gamemode,!=,MP
iw7_mag+akimbo,,,,system,gamemode,!=,MP
iw7_mag+highcal,,,,system,gamemode,!=,MP
iw7_mag+phase,,,,system,gamemode,!=,MP
iw7_mag+silencer,,,,system,gamemode,!=,MP
