iw7_erad+xmagse,,,,system,gamemode,!=,MP
iw7_erad+reflect,,,,system,gamemode,!=,MP
iw7_erad+phase,,,,system,gamemode,!=,MP
iw7_erad+silencer,,,,system,gamemode,!=,MP
iw7_fhr+phase,,,,system,gamemode,!=,MP
iw7_fhr+silencer,,,,system,gamemode,!=,MP
iw7_crb+phase,,,,system,gamemode,!=,MP
iw7_crb+silencer,,,,system,gamemode,!=,MP
iw7_ripper+phase,,,,system,gamemode,!=,MP
iw7_ripper+silencer,,,,system,gamemode,!=,MP
iw7_ump45+phase,,,,system,gamemode,!=,MP
iw7_ump45+silencer,,,,system,gamemode,!=,MP
iw7_crdb+phase,,,,system,gamemode,!=,MP
iw7_crdb+silencer,,,,system,gamemode,!=,MP
iw7_mp28+phase,,,,system,gamemode,!=,MP
iw7_mp28+silencer,,,,system,gamemode,!=,MP
iw7_tacburst+phase,,,,system,gamemode,!=,MP
iw7_tacburst+silencer,,,,system,gamemode,!=,MP
