0,weapon_iw7_ake_common_1,iw7_ake,iw7_ake_mpl,1,passive_increased_damage_range_e,,,,,LOOT_WEAPONS_AKE_COMMON_1,render_weapon_slot_ake_mp_common,0,0,0,0,0,,,,iw7_ake_zml,passive_increased_damage_range_e,,,,,,LOOT_WEAPONS_FE_AKE_COMMON_1_SUFFIX,1
1,weapon_iw7_ake_rare_1,iw7_ake,iw7_ake_mpl,2,passive_score_bonus_kills,passive_reduced_recoil,,,,LOOT_WEAPONS_AKE_RARE_1,render_weapon_slot_ake_mp_rare,0,0,0,0,0,,,,iw7_ake_zml,passive_score_bonus_kills,passive_reduced_recoil,,,,,LOOT_WEAPONS_FE_AKE_RARE_1_SUFFIX,3
2,weapon_iw7_ake_legendary_1,iw7_ake,iw7_ake_mpl,3,passive_hitman,passive_increased_ammo_e,,,,LOOT_WEAPONS_AKE_LEGENDARY_1,render_weapon_slot_ake_mp_legendary,0,0,0,0,0,,,,iw7_ake_zml,passive_hitman,passive_increased_ammo_e,,,,,LOOT_WEAPONS_FE_AKE_LEGENDARY_1_SUFFIX,5
3,weapon_iw7_ake_epic_1,iw7_ake,iw7_ake_mp_single,4,passive_single_fire,passive_increased_ads_stability,,,,LOOT_WEAPONS_AKE_EPIC_1,render_weapon_slot_ake_mp_single,0,0,0,0,0,,,PERKS_AR_AKE_SEMI,iw7_ake_zm_single,passive_single_fire,passive_increased_ads_stability,,semi_auto_fire_mode,,,LOOT_WEAPONS_FE_AKE_EPIC_1_SUFFIX,7
4,weapon_iw7_ake_epic_2,iw7_ake,iw7_ake_mpr_hipfire,4,passive_extra_xp,passive_increased_damage_range_e,,,,LOOT_WEAPONS_AKE_EPIC_2,render_weapon_slot_ake_mpr_hipfire,0,0,0,0,0,,,,iw7_ake_zmr_hipfire,passive_extra_xp,passive_increased_damage_range_e,,,,,LOOT_WEAPONS_FE_AKE_EPIC_2_SUFFIX,8
5,weapon_iw7_ake_rare_2,iw7_ake,iw7_ake_mpl,2,passive_faster_ads,passive_crouch_move_speed,,,,LOOT_WEAPONS_AKE_RARE_2,render_weapon_slot_ake_mp_rare,0,0,0,0,0,,,,iw7_ake_zml,passive_faster_ads,passive_crouch_move_speed,,,,,LOOT_WEAPONS_FE_AKE_RARE_2_SUFFIX,4
6,weapon_iw7_ake_common_2,iw7_ake,iw7_ake_mpl,1,passive_reduced_recoil,,,,,LOOT_WEAPONS_AKE_COMMON_2,render_weapon_slot_ake_mp_common,0,0,0,0,0,,,,iw7_ake_zml,passive_reduced_recoil,,,,,,LOOT_WEAPONS_FE_AKE_COMMON_2_SUFFIX,2
7,weapon_iw7_ake_epic_3,iw7_ake,iw7_ake_mpl_bal,4,passive_balconvkit,passive_reduced_hip_spread,,,,LOOT_WEAPONS_AKE_EPIC_3,render_weapon_slot_ake_mpl,0,0,0,0,0,,,PERKS_AR_AKE_BAL,iw7_ake_zml_bal,passive_balconvkit,passive_increased_ammo,,,,,LOOT_WEAPONS_FE_AKE_EPIC_3_SUFFIX,9
8,weapon_iw7_ake_epic_4,iw7_ake,iw7_ake_mpl_bal,4,passive_balconvkit,passive_reduced_hip_spread,,,,LOOT_WEAPONS_AKE_EPIC_4,render_weapon_slot_ake_mp_summer,0,0,0,0,0,,,PERKS_AR_AKE_BAL,iw7_ake_zml_bal,passive_balconvkit,passive_increased_ammo,,,,,LOOT_WEAPONS_FE_AKE_EPIC_4_SUFFIX,10
9,weapon_iw7_ake_legendary_2,iw7_ake,iw7_ake_mpl,3,passive_nuke,passive_reduced_recoil,,,,LOOT_WEAPONS_AKE_LEGENDARY_2,render_weapon_slot_ake_mp_legendary,0,0,0,0,0,,,,iw7_ake_zml,passive_nuke,passive_reduced_recoil,,,,,LOOT_WEAPONS_FE_AKE_LEGENDARY_2_SUFFIX,6
