kill,,TRUE,core,100,100,100,75,50,50,50,100,50,0,100,100,50,100,100,100,100,100,100
kill_weapon,,TRUE,core,100,100,100,100,100,100,100,100,100,0,100,50,50,100,100,100,100,100,100
assist,SPLASHES_ASSIST,TRUE,core,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25
assist_hardline,SPLASHES_ASSIST_HARDLINE,TRUE,core,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25
assist_ffa,SPLASHES_ASSIST_FFA,TRUE,core,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25
assistedsuicide,SPLASHES_ASSISTEDSUICIDE,TRUE,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assistMarked,SPLASHES_ASSIST_MARKED,TRUE,misc,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50
assistPing,SPLASHES_ASSIST_PING,TRUE,misc,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10
suicide,,,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shield_damage,,TRUE,core,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
shield_assist,,TRUE,core,0,25,25,25,25,25,25,25,25,0,0,25,25,25,25,25,25,25,25
weapon_challenge,,TRUE,core,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
challenge,,TRUE,challenge,2500,2500,2500,2500,2500,2500,2500,2500,2500,-1,2500,2500,2500,2500,2500,2500,2500,2500,2500
loss,,TRUE,match_bonus,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,-1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5
tie,,TRUE,match_bonus,0.75,0.75,1.5,1.5,0.75,1.5,0.75,0.75,0.75,-1,0.75,0.75,1.5,1.5,0.75,0.75,0.75,0.75,0.75
win,,TRUE,match_bonus,1,1,2,2,1,2,1,1,1,-1,1,1,2,2,1,1,1,1,1
weapon_rank_up_0_4,,TRUE,weapon_rank_up,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
weapon_rank_up_5_9,,TRUE,weapon_rank_up,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
weapon_rank_up_10_14,,TRUE,weapon_rank_up,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
weapon_rank_up_15_plus,,TRUE,weapon_rank_up,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
assault,SPLASHES_ASSAULT,TRUE,gamemode,-1,-1,-1,25,-1,-1,-1,25,-1,-1,-1,-1,25,25,-1,25,-1,25,-1
assault_assist,BUG_NEEDS_STRING,TRUE,gamemode,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,-1,10,10,-1,-1,-1,-1,-1
assist_cranked,SPLASHES_ASSIST_CRANKED,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
begin_cranked,SPLASHES_CRANKED,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,SPLASHES_CAPTURE,TRUE,gamemode,-1,-1,-1,150,-1,-1,-1,200,-1,-1,-1,-1,200,100,-1,-1,-1,-1,-1
defend,SPLASHES_DEFEND,TRUE,gamemode,-1,-1,-1,25,-1,-1,-1,25,-1,-1,-1,-1,25,25,-1,25,-1,25,-1
defend_assist,BUG_NEEDS_STRING,TRUE,gamemode,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,-1,10,10,-1,-1,-1,-1,-1
defender,SPLASHES_DEFENDER,TRUE,gamemode,10,10,10,10,10,10,10,10,10,-1,10,10,10,10,10,10,10,10,10
defuse,SPLASHES_DEFUSE,TRUE,gamemode,-1,-1,200,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1
ninja_defuse,SPLASHES_DEFUSE,TRUE,gamemode,-1,-1,200,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1
final_survivor,SPLASHES_FINAL_SURVIVOR,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first_infected,SPLASHES_FIRST_INFECTED,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
got_infected,SPLASHES_GOT_INFECTED,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
infected_survivor,SPLASHES_INFECTED_SURVIVOR,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kill_cranked,SPLASHES_KILL_CRANKED,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plant,SPLASHES_PLANT,TRUE,gamemode,-1,-1,100,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1
posthumous,SPLASHES_POSTHUMOUS,TRUE,gamemode,25,25,25,25,25,25,25,25,25,-1,25,25,25,25,25,25,25,25,25
proximityassist,SPLASHES_PROXIMITYASSIST,TRUE,gamemode,-1,20,20,20,20,20,20,20,20,-1,-1,20,20,20,20,20,20,20,20
proximitykill,SPLASHES_PROXIMITYKILL,TRUE,gamemode,-1,20,20,20,20,20,20,20,20,-1,-1,20,20,20,20,20,20,20,20
score_increment,BUG_NEEDS_STRING,TRUE,gamemode,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
survivor,SPLASHES_SURVIVOR,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tag_collected,SPLASHES_TAG_COLLECTED,TRUE,gamemode,100,25,25,-1,-1,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,25
tag_denied,SPLASHES_TAG_DENIED,TRUE,gamemode,25,25,25,-1,-1,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,25
tag_retrieved,SPLASHES_TAGS_RETRIEVED,TRUE,gamemode,50,50,50,-1,25,50,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,50
kill_confirmed,SPLASHES_KILL_CONFIRMED,TRUE,gamemode,50,50,50,-1,75,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,50
kill_denied,SPLASHES_DENIED_KILL,TRUE,gamemode,50,50,50,-1,25,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,50
teamkill,SPLASHES_TEAMKILL,,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neutral_capture,SPLASHES_CAPTURE_NEUTRAL,TRUE,gamemode,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,50,50,50,-1,-1,-1,-1,-1
neutral_b_capture,SPLASHES_CAPTURE_NEUTRAL_B,TRUE,gamemode,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,200,200,-1,-1,-1,-1,-1
capture_kill,SPLASHES_CAPTURE_KILL,TRUE,gamemode,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,25,25,25,-1,-1,-1,-1,-1
breaker,SPLASHES_BREAKER,TRUE,gamemode,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,-1,-1,-1,-1
