0,ESC,CODCASTER_KB_MENU
1,R,CODCASTER_KB_TOOLBAR
2,L,CODCASTER_KB_LOADOUT
3,Y,CODCASTER_KB_PLAYERLIST
4,Q,CODCASTER_KB_QUICKSETTINGS
5,X,CODCASTER_KB_XRAY
6,S,CODCASTER_KB_SCOREPANEL
7,W,CODCASTER_KB_SETTINGS
8,N,CODCASTER_KB_PLAYERNUMBERS
9,C,CODCASTER_KB_PLAYERCARD
10,E,CODCASTER_KB_LOADOUTSETTINGS
11,M,CODCASTER_KB_MAP
12,H,CODCASTER_KB_PLAYERHUD
13,T,CODCASTER_KB_THIRDPERSON
14,CODCASTER_KB_COMMA,CODCASTER_KB_PREVIOUSPLAYER
15,1-4,CODCASTER_KB_TEAM1
16,CODCASTER_KB_DOT,CODCASTER_KB_NEXTPLAYER
17,5-8,CODCASTER_KB_TEAM2
18,TAB,CODCASTER_KB_SCOREBOARD
19,SPC,CODCASTER_KB_NEXTLIVEPLAYER
20,F,CODCASTER_ENABLE_FOLLOW_DRONE
21,F1-12,CODCASTER_KB_CYCLECAMERAS
22,I,CODCASTER_DS_CAMERAICON
