iw7_nrg,camo05,ch_iw7_nrg,0,
iw7_nrg,camo09,ch_iw7_nrg,1,
iw7_nrg,camo11,ch_iw7_nrg,2,
iw7_nrg,camo07,ch_iw7_nrg,3,
iw7_nrg,camo27,ch_iw7_nrg_headshot,0,
iw7_nrg,camo41,ch_iw7_nrg_headshot,1,
iw7_nrg,camo48,ch_iw7_nrg_headshot,2,
iw7_nrg,camo45,ch_iw7_nrg_headshot,3,
iw7_nrg,camo44,ch_iw7_nrg_headshot,4,
iw7_nrg,camo43,ch_iw7_nrg_pointblank,0,
iw7_nrg,camo16,ch_iw7_nrg_pistol_only,0,
iw7_nrg,camo47,ch_iw7_nrg_5attachments,0,
iw7_nrg,camo14,ch_iw7_nrg_2multikill,0,
iw7_nrg,camo12,ch_iw7_nrg_3streak,0,
iw7_nrg,camo10,ch_iw7_nrg_gold,0,
iw7_nrg,camo95,ch_diamond_pistol,0,
iw7_nrg,camo94,ch_solar,0,
iw7_nrg,camo96,ch_uber_camo,0,
iw7_revolver,camo05,ch_iw7_revolver,0,
iw7_revolver,camo09,ch_iw7_revolver,1,
iw7_revolver,camo11,ch_iw7_revolver,2,
iw7_revolver,camo07,ch_iw7_revolver,3,
iw7_revolver,camo27,ch_iw7_revolver_headshot,0,
iw7_revolver,camo41,ch_iw7_revolver_headshot,1,
iw7_revolver,camo48,ch_iw7_revolver_headshot,2,
iw7_revolver,camo45,ch_iw7_revolver_headshot,3,
iw7_revolver,camo44,ch_iw7_revolver_headshot,4,
iw7_revolver,camo43,ch_iw7_revolver_pointblank,0,
iw7_revolver,camo16,ch_iw7_revolver_pistol_only,0,
iw7_revolver,camo47,ch_iw7_revolver_5attachments,0,
iw7_revolver,camo14,ch_iw7_revolver_2multikill,0,
iw7_revolver,camo12,ch_iw7_revolver_3streak,0,
iw7_revolver,camo10,ch_iw7_revolver_gold,0,
iw7_revolver,camo95,ch_diamond_pistol,0,
iw7_revolver,camo94,ch_solar,0,
iw7_revolver,camo96,ch_uber_camo,0,
iw7_g18,camo05,ch_iw7_g18,0,
iw7_g18,camo09,ch_iw7_g18,1,
iw7_g18,camo11,ch_iw7_g18,2,
iw7_g18,camo07,ch_iw7_g18,3,
iw7_g18,camo27,ch_iw7_g18_headshot,0,
iw7_g18,camo41,ch_iw7_g18_headshot,1,
iw7_g18,camo48,ch_iw7_g18_headshot,2,
iw7_g18,camo45,ch_iw7_g18_headshot,3,
iw7_g18,camo44,ch_iw7_g18_headshot,4,
iw7_g18,camo43,ch_iw7_g18_pointblank,0,
iw7_g18,camo16,ch_iw7_g18_pistol_only,0,
iw7_g18,camo47,ch_iw7_g18_5attachments,0,
iw7_g18,camo14,ch_iw7_g18_2multikill,0,
iw7_g18,camo12,ch_iw7_g18_3streak,0,
iw7_g18,camo10,ch_iw7_g18_gold,0,
iw7_g18,camo95,ch_diamond_pistol,0,
iw7_g18,camo94,ch_solar,0,
iw7_g18,camo96,ch_uber_camo,0,
iw7_emc,camo05,ch_iw7_emc,0,
iw7_emc,camo09,ch_iw7_emc,1,
iw7_emc,camo11,ch_iw7_emc,2,
iw7_emc,camo07,ch_iw7_emc,3,
iw7_emc,camo27,ch_iw7_emc_headshot,0,
iw7_emc,camo41,ch_iw7_emc_headshot,1,
iw7_emc,camo48,ch_iw7_emc_headshot,2,
iw7_emc,camo45,ch_iw7_emc_headshot,3,
iw7_emc,camo44,ch_iw7_emc_headshot,4,
iw7_emc,camo43,ch_iw7_emc_pointblank,0,
iw7_emc,camo16,ch_iw7_emc_pistol_only,0,
iw7_emc,camo47,ch_iw7_emc_5attachments,0,
iw7_emc,camo14,ch_iw7_emc_2multikill,0,
iw7_emc,camo12,ch_iw7_emc_3streak,0,
iw7_emc,camo10,ch_iw7_emc_gold,0,
iw7_emc,camo95,ch_diamond_pistol,0,
iw7_emc,camo94,ch_solar,0,
iw7_emc,camo96,ch_uber_camo,0,
iw7_g18c,camo05,ch_iw7_g18c,0,
iw7_g18c,camo09,ch_iw7_g18c,1,
iw7_g18c,camo11,ch_iw7_g18c,2,
iw7_g18c,camo07,ch_iw7_g18c,3,
iw7_g18c,camo27,ch_iw7_g18c_headshot,0,
iw7_g18c,camo41,ch_iw7_g18c_headshot,1,
iw7_g18c,camo48,ch_iw7_g18c_headshot,2,
iw7_g18c,camo45,ch_iw7_g18c_headshot,3,
iw7_g18c,camo44,ch_iw7_g18c_headshot,4,
iw7_g18c,camo43,ch_iw7_g18c_pointblank,0,
iw7_g18c,camo16,ch_iw7_g18c_pistol_only,0,
iw7_g18c,camo47,ch_iw7_g18c_5attachments,0,
iw7_g18c,camo14,ch_iw7_g18c_2multikill,0,
iw7_g18c,camo12,ch_iw7_g18c_3streak,0,
iw7_g18c,camo10,ch_iw7_g18c_gold,0,
iw7_g18c,camo95,ch_classic_diamond,0,
iw7_g18c,camo94,ch_solar,0,
iw7_g18c,camo96,ch_uber_camo,0,
iw7_erad,camo05,ch_iw7_erad,0,
iw7_erad,camo09,ch_iw7_erad,1,
iw7_erad,camo11,ch_iw7_erad,2,
iw7_erad,camo07,ch_iw7_erad,3,
iw7_erad,camo27,ch_iw7_erad_hipfire,0,
iw7_erad,camo41,ch_iw7_erad_hipfire,1,
iw7_erad,camo48,ch_iw7_erad_hipfire,2,
iw7_erad,camo45,ch_iw7_erad_hipfire,3,
iw7_erad,camo44,ch_iw7_erad_hipfire,4,
iw7_erad,camo43,ch_iw7_erad_pointblank,0,
iw7_erad,camo16,ch_iw7_erad_sliding,0,
iw7_erad,camo47,ch_iw7_erad_0attachments,0,
iw7_erad,camo14,ch_iw7_erad_2multikill,0,
iw7_erad,camo12,ch_iw7_erad_3streak,0,
iw7_erad,camo10,ch_iw7_erad_gold,0,
iw7_erad,camo95,ch_diamond_smg,0,
iw7_erad,camo94,ch_solar,0,
iw7_erad,camo96,ch_uber_camo,0,
iw7_crb,camo05,ch_iw7_crb,0,
iw7_crb,camo09,ch_iw7_crb,1,
iw7_crb,camo11,ch_iw7_crb,2,
iw7_crb,camo07,ch_iw7_crb,3,
iw7_crb,camo27,ch_iw7_crb_hipfire,0,
