0,weapon_assault,1,LUA_MENU_WEAPTYPE_SINGLE_AR,LUA_MENU_WEAPTYPE_AR,1,assault,1,cp_wepbuild_ar_icon,1
1,weapon_smg,1,LUA_MENU_WEAPTYPE_SINGLE_SMG,LUA_MENU_WEAPTYPE_SMG,1,smg,1,cp_wepbuild_smg_icon,1
2,weapon_lmg,1,LUA_MENU_WEAPTYPE_SINGLE_LMG,LUA_MENU_WEAPTYPE_LMG,1,lmg,1,cp_wepbuild_lmg_icon,1
3,weapon_sniper,1,LUA_MENU_WEAPTYPE_SINGLE_SNIPER,LUA_MENU_WEAPTYPE_SNIPER,1,sniper,1,cp_wepbuild_sr_icon,1
4,weapon_shotgun,1,LUA_MENU_WEAPTYPE_SINGLE_SHOTGUN,LUA_MENU_WEAPTYPE_SHOTGUN,1,shotgun,1,cp_wepbuild_shotgun_icon,1
5,weapon_pistol,2,LUA_MENU_WEAPTYPE_SINGLE_HANDGUN,LUA_MENU_WEAPTYPE_HANDGUNS,1,pistol,1,cp_wepbuild_secondaries_icon,1
6,weapon_projectile,2,LUA_MENU_WEAPTYPE_SINGLE_LAUNCHER,LUA_MENU_WEAPTYPE_LAUNCHERS,1,projectile,1,weapon_glprox_sml,0
7,weapon_melee,2,LUA_MENU_WEAPTYPE_SINGLE_MELEE,LUA_MENU_WEAPTYPE_MELEES,1,melee,1,weapon_knife_primary,0
8,weapon_classic_p,1,LUA_MENU_WEAPTYPE_SINGLE_CLASSIC,LUA_MENU_WEAPTYPE_CLASSICS,1,classic,1,weapon_knife_primary,0
9,weapon_classic_s,2,LUA_MENU_WEAPTYPE_SINGLE_CLASSIC,LUA_MENU_WEAPTYPE_CLASSICS,1,classic,0,weapon_knife_primary,0
