dodge_time_ms,,350,400,530,530,350,,800
dodge_aerial_time_ms,,300,350,435,435,300,,700
dodge_cooldown_ms,,5000,250,250,250,250,,50
dodge_spam_cooldown_ms,,5000,0,0,0,0,,0
dodge_spam_time_ms,,5000,0,0,0,0,,0
dodge_acceleration,,3.5,4.7,4.3,5,4.3,,10
dodge_aerial_acceleration,,2,3.2,3.5,3,3.2,,5
dodge_aerial_deceleration_time_ms,,50,100,100,100,100,,100
dodge_aerial_deceleration_target_speed,,300,400,375,375,375,,400
dodge_cmdscale,,4,4,4,6,4,,4
dodge_cmdscale_absolute,,1,1,1,1,1,,1
dodge_cmdscale_spam,,2,3,3,3,3,,3
dodge_jump_break_time_ms,,100,100,100,100,100,,100
dodge_slide_post_time_ms,,200,200,200,200,200,,200
dodge_minZVelocity,,-150,-150,-150,-150,-150,,-150
dodge_enableMinZVelocity,,1,1,1,1,1,,1
dodge_energyInitialCost,,0,50,50,50,50,,0
dodge_enable_forward_dodge_on_ground,,,,,,,,1
