0,none,PERKS_NONE,PERKS_NONE,specialty_ks_null,specialty_ks_null,,,0,0,1,0,none,none,none,,,
1,power_mobileRadar,PERKS_POWER_MOBILERADAR,PERKS_POWER_MOBILERADAR_DESC,weapon_motionsensor,weapon_motionsensor_360,weapon,mobile_radar_mp,30,1,1,0,none,none,none,charges,0,
2,power_sensorGrenade,PERKS_POWER_SENSORGRENADE,PERKS_POWER_SENSORGRENADE_DESC,equipment_icon_slot_gesture_boom,equipment_icon_slot_gesture_boom,weapon,power_boom_mp,10,1,1,0,none,none,none,charges,0,
3,power_bioSpike,PERKS_POWER_BIOSPIKE,PERKS_POWER_BIOSPIKE_DESC,equipment_icon_slot_biospike,equipment_icon_showcase_biospike,weapon,throwingknifec4_mp,60,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,
4,power_gasGrenade,PERKS_POWER_GASGRENADE,PERKS_POWER_GASGRENADE_DESC,equipment_icon_slot_gesture_headcrush,equipment_icon_slot_gesture_headcrush,weapon,power_headcrush_mp,25,1,1,0,archetype_medic,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,
5,power_blinkKnife,PERKS_POWER_BLINKKNIFE,PERKS_POWER_BLINKKNIFE_DESC,equipment_icon_slot_blinkknife,equipment_icon_showcase_blinkknife,weapon,throwingknifeteleport_mp,60,1,1,0,archetype_assassin,cqb|camper,regular|hardened|veteran,charges,0,
6,power_clusterGrenade,PERKS_POWER_CLUSTERGRENADE,PERKS_POWER_CLUSTERGRENADE_DESC,equipment_icon_slot_clustergrenade,equipment_icon_showcase_clustergrenade,weapon,cluster_grenade_mp,45,1,1,0,archetype_heavy,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,charges,0,
7,power_siegeMode,PERKS_POWER_SIEGEMODE,PERKS_POWER_SIEGEMODE_DESC,equipment_icon_slot_gesture_youredead,equipment_icon_slot_gesture_youredead,weapon,power_throatcut_mp,45,1,1,0,archetype_heavy,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,charges,0,
8,power_proxyBomb,PERKS_POWER_PROXYBOMB,PERKS_POWER_PROXYBOMB_DESC,equipment_icon_slot_gesture_lighter,equipment_icon_slot_gesture_lighter,weapon,power_lighter_mp,4,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,
9,power_bouncingBetty,PERKS_POWER_BOUNCINGBETTY,PERKS_POWER_BOUNCINGBETTY_DESC,equipment_icon_slot_gesture_blood42,equipment_icon_slot_gesture_blood42,weapon,power_crush_mp,45,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,
10,power_smokeGrenade,PERKS_POWER_SMOKEGRENADE,PERKS_POWER_SMOKEGRENADE_DESC,equipment_icon_slot_smokegrenade,equipment_icon_showcase_smokegrenade,weapon,smoke_grenade_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,
