1,any,1,power_clusterGrenade,LETHAL
2,any,1,power_explodingDrone,LETHAL
3,any,1,power_splashGrenade,LETHAL
4,any,1,power_spiderGrenade,LETHAL
5,any,1,power_tripMine,LETHAL
6,any,1,power_wristRocket,LETHAL
7,any,1,power_splitGrenade,LETHAL
8,any,1,power_blackholeGrenade,LETHAL
9,any,1,power_c4,LETHAL
10,any,1,power_bioSpike,LETHAL
11,any,2,power_periphVis,TACTICAL
12,any,2,power_cryoMine,TACTICAL
13,any,2,power_concussionGrenade,TACTICAL
14,any,2,power_domeshield,TACTICAL
15,any,2,power_trophy,TACTICAL
16,any,2,power_smokeGrenade,TACTICAL
17,any,2,power_blackoutGrenade,TACTICAL
18,any,2,power_adrenaline,TACTICAL
