0,none,-1,,,1 1,MPUI_NONE,icon_weapon_ph_camo,0,1,,,,0,1,,,
1,camo01,0,camo_01,1.0 1.0 1.0,1 1,LUA_MENU_CAMO_01,icon_camo_01,1,1,,cp,,0,0,,,
2,camo02,0,camo_02,0.61 0.54 0.21,1 1,LUA_MENU_CAMO_02,icon_camo_02,2,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
3,camo03,0,camo_03,0.43 0.19 0.46,1 1,LUA_MENU_CAMO_03,icon_camo_03,3,1,,extra,loot,999,1,1,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
4,camo04,0,camo_04,0.04 0.66 0.81,1 1,LUA_MENU_CAMO_04,icon_camo_04,4,1,,cp,,100,0,,,
5,camo05,0,camo_05,0.44 0.54 0.09,1 1,LUA_MENU_CAMO_05,icon_camo_05,5,1,,mp,unlock,1,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
6,camo06,0,camo_06,0.23 0.23 0.23,1 1,LUA_MENU_CAMO_06,icon_camo_06,6,1,,extra,loot,999,1,1,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
7,camo07,0,camo_07,0.25 0.49 0.58,1 1,LUA_MENU_CAMO_07,icon_camo_07,7,1,,mp,unlock,4,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
8,camo08,0,camo_01,0.13 0.81 0.59,1 1,LUA_MENU_CAMO_08,icon_camo_01,8,1,,loot,loot,999,0,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
9,camo09,0,camo_09,0.21 0.21 0.19,1 1,LUA_MENU_CAMO_09,icon_camo_09,9,1,,mp,unlock,2,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
10,camo10,0,camo_10,0.49 0.36 0.17,1 1,LUA_MENU_CAMO_10,icon_camo_10,10,1,,mp,unlock,15,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
11,camo11,0,camo_11,0.60 0.78 0.17,1 1,LUA_MENU_CAMO_11,icon_camo_11,11,1,,mp,unlock,3,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
12,camo12,0,camo_12,0.01 0.01 0.01,1 1,LUA_MENU_CAMO_12,icon_camo_12,12,1,,mp,unlock,14,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
13,camo13,0,camo_13,0.39 0.39 0.38,1 1,LUA_MENU_CAMO_13,icon_camo_13,13,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
14,camo14,0,camo_14,0.65 0 0,1 1,LUA_MENU_CAMO_14,icon_camo_14,14,1,,mp,unlock,13,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
15,camo15,0,camo_15,0 0.86 0,1 1,LUA_MENU_CAMO_15,icon_camo_15,15,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
16,camo16,0,camo_16,0.96 0.96 0.96,1 1,LUA_MENU_CAMO_16,icon_camo_16,16,1,,mp,unlock,11,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
17,camo17,0,camo_17,0 0.92 0.51,1 1,LUA_MENU_CAMO_17,icon_camo_17,17,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
18,camo18,0,camo_18,0.01 0.01 0.01,1 1,LUA_MENU_CAMO_18,icon_camo_18,18,1,,mp,,999,0,,,
19,camo19,0,camo_19,0.01 0.01 0.01,1 1,LUA_MENU_CAMO_19,icon_camo_19,19,1,,mp,,999,0,,,
20,camo20,0,camo_20,0.10 0.57 0.28,1 1,LUA_MENU_CAMO_20,icon_camo_20,20,1,,cp,,0,0,,,
21,camo21,0,camo_21,0.29 0.05 0.11,1 1,LUA_MENU_CAMO_21,icon_camo_21,21,1,,cp,,0,0,,,
22,camo22,0,camo_22,0.29 0.21 0.49,1 1,LUA_MENU_CAMO_22,icon_camo_22,22,1,,cp,,0,0,,,
23,camo23,0,camo_23,0.411 0.03 0.14,1 1,LUA_MENU_CAMO_23,icon_camo_23,23,1,,cp,,0,0,,,
24,camo24,0,camo_24,0.01 0.01 0.01,1 1,LUA_MENU_CAMO_24,icon_camo_24,24,1,,mp,,999,0,,,
25,camo25,0,camo_01,0.24 0.24 0.24,1 1,LUA_MENU_CAMO_25,icon_camo_01,25,1,,extra,,999,0,,,
26,camo26,0,camo_26,0.11 0.29 0.99,1 1,LUA_MENU_CAMO_26,icon_camo_26,26,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
27,camo27,0,camo_27,0.50 0.49 0.38,1 1,LUA_MENU_CAMO_27,icon_camo_27,27,1,,mp,unlock,5,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_CHALLENGE
28,camo28,0,camo_01,1.0 1.0 1.0,1 1,LUA_MENU_CAMO_28,icon_camo_01,28,1,,extra,,999,0,,,
29,camo29,0,camo_01,1.0 1.0 1.0,1 1,LUA_MENU_CAMO_29,icon_camo_01,29,1,,extra,,999,0,,,
30,camo30,0,camo_30,1.0 .7 0,1 1,LUA_MENU_CAMO_30,icon_camo_30,30,1,,extra,loot,999,1,1,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
31,camo31,0,camo_31,0.2 0.2 0.2,4 4,LUA_MENU_CAMO_31,icon_camo_31,31,1,,loot,loot,1012,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
32,camo32,0,camo_32,1.0 1.0 1.0,4 4,LUA_MENU_CAMO_32,icon_camo_32,32,1,,extra,,999,0,,,
33,camo33,0,camo_33,0.85 0.42 0.2,1 1,LUA_MENU_CAMO_33,icon_camo_33,33,1,,loot,loot,999,1,,,MP_FRONTEND_ONLY_UNLOCKED_VIA_SUPPLY_DROP
34,camo34,0,camo_34,1.0 1.0 1.0,4 4,LUA_MENU_CAMO_34,icon_camo_34,34,1,,extra,,999,0,,,
35,camo35,0,camo_35,0 0 0,4 4,LUA_MENU_CAMO_35,icon_camo_35,35,1,,cp,unlock,1,1,,,LUA_MENU_MP_UNLOCK_DC
36,camo36,0,camo_01,1.0 1.0 1.0,1 1,LUA_MENU_CAMO_36,icon_camo_01,36,1,,extra,,999,0,,,
37,camo37,0,camo_01,1.0 1.0 1.0,1 1,LUA_MENU_CAMO_37,icon_camo_01,37,1,,extra,,999,0,,,
