empty,scope,acog,reflex,phase,thermal,hybrid,oscope,vzscope,elo,smart,fastaim,firetypeauto,silencer,barrelrange,xmags,xmagse,rof,stock,highcal,grip,hipaim,shotgun,gl,akimbo,axefists,reflect,shotgunlongshot
weapon_assault,,acog_camo,reflex_camo,phase_camo,thermal_camo,hybrid_camo,,,elo_camo,,,,silencer_camo,,,,rofar,,,grip_camo,,,,,,,
weapon_pistol,,acogpistol_camo,reflexpstl_camo,phasepstl_camo,,,,,elopstl_camo,,,,silencerpstl_camo,barrelrangepstl,,,,stockpstl,,grip_camo,,,,,,,
weapon_shotgun,,,reflexshotgun_camo,phaseshotgun_camo,,,,,eloshtgn_camo,smart_camo,,,silencershtgn_camo,barrelrangeshtgn,,,rofshtgn,stockshtgn,,gripshtgn_camo,,,,,,,
weapon_smg,,acogsmg_camo,reflexsmg_camo,phasesmg_camo,thermalsmg_camo,hybridsmg_camo,,,elosmg_camo,,,,silencersmg_camo,barrelrangesmg,,,,stocksmg,,grip_camo,,,,,,,
weapon_lmg,,acoglmg_camo,reflexlmg_camo,phaselmg_camo,thermallmg_camo,hybridlmg_camo,,,elolmg_camo,,,,silencer_camo,,,,roflmg,stocklmg,,grip_camo,,,,,,,
weapon_dmr,,,,,,,,,elodmr_camo,,,,silencerdmr_camo,barrelrangedmr,,,rofdmr,stockdmr,,grip_camo,,,,,,,
weapon_sniper,,,,,,,,,,,fastaimsnpr,,silencersnpr_camo,,,,rofsnpr,stocksnpr,,gripsnpr_camo,,,,,,,
iw7_kbs,kbsscope_camo,acogkbs_camo,,,thermalkbs_camo,,kbsoscope,kbsvzscope,elokbs_camo,,,,silencersniperhide_camo,,,,rofsnprbolt,,,,,,,,,,
iw7_kbs_mpr,kbsrscope_camo,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_kbs_mpl,kbslscope_camo,,,,,,,,,,,,,,,,,,,,,,,,,,
iw7_cheytac,cheytacscope_camo,acogcheytac_camo,,,thermalcheytac_camo,,,,elocheytac_camo,,,,,,,,rofsnprbolt,,,,,,,,,,
