# The file is broken into the CPU section followed by the video memory and GPU sections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first four columns of the CPU section must be ""cpu name then ""cpu mhz"""" then """"sys mb"""" then """"cpu cores"""".""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first column of the video memory section must be ""vidmem"". This triggers the start of the video memory section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first column of the GPU section must be ""gpu"".  This triggers the start of the GPU section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Each subsequent column header in both sections is a dvar name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the CPU section, each dvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the video memory section, each dvar gets the value listed in its column for the row of the video memory that most closely matches the current video card, without going over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the GPU section, each dvar gets the value listed in its column for the row of the first GPU string to match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# For GPU names, spaces are treated as wildcards that match any sequence of 0 or more non-numeric characters.  You can use * to match 0 or more of any character, or ? to match any single character.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu name,cpu ghz,sys mb,cpu cores,r_elevatedPriority,r_resourceReleaseQuota,r_delayWorldUnloadForNarrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,0,128,1,0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,0,128,4,1,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vidmem,r_usePrebuiltSpotShadow,r_usePrebuiltSunShadowArchived,r_shadowTileResolution,r_picmip,r_picmip_bump,r_picmip_spec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,0,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,0,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,1,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900,1,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpu,r_resampleScenePixelCount,r_postAA,r_dof_enable,r_ssao,r_texFilterAnisoMax,r_texFilterAnisoMin,r_texFilterMipMode,r_subdivLimit,r_adaptiveSubdivBaseFactor,r_adaptiveSubdivPatchFactor,r_fxaaSubpixel,r_dof_hq,r_tessellation,r_tessellationCutoffDistanceBase,r_tessellationCutoffFalloffBase,r_subdomainLimit,r_subdomainScale,r_useComputeSkinning,r_mbEnableA,r_reactiveTurbulenceEnable,r_SkinnedCacheThreshold,r_videoMemoryScale,r_volumetricsA,fx_lightmap_max_level,fx_lightmap_pixels_per_texel,r_reflectionProbeLightingStagesPerFrame,r_preloadShaders,r_preloadShadersDrawTechsetOnlyOnce,ui_fx_lightmap_max_level,sm_spotUpdateLimitMax,sm_roundRobinPrioritySpotShadowsMax,r_lodScale,r_halfResEmissive,fx_marks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 4*,1.0368,1,0,0,2,1,0,1,1.5,0.5,0.33,0,0,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce GT 4*,1.0368,1,0,0,2,1,0,3,1.5,0.5,0.33,0,0,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce 4*,1.0368,1,0,0,2,1,0,1,1.5,0.5,0.33,0,0,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 56*,1.0368,1,0,0,2,1,0,1,1.5,0.5,0.33,0,1,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce GTX 57*,1.24416,1,0,0,2,1,0,1,1.5,0.5,0.33,0,1,960,320,1,1,1,0,1,0.8,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce GTX 5*,1.45152,1,0,0,2,1,0,1,1.5,0.5,0.33,0,1,960,320,1,1,1,0,1,0.748,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce GT 5*,1.0368,1,0,0,2,1,0,1,1.5,0.5,0.33,0,1,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
GeForce 5*,1.0368,1,0,0,2,1,0,1,1.5,0.5,0.33,0,1,960,320,1,1,1,0,1,0.85,1,0,2,64,1,0,1,2,8,16,1.2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 66*,1.45152,1,1,0,8,1,0,1,1.5,0.5,0.33,0,1,960,320,2,1,1,1,1,0.748,1,1,3,32,4,0,1,3,8,16,1.2,2,0
GeForce GTX 67*,1.45152,1,1,0,8,1,0,1,1.5,0.5,0.33,0,1,960,320,2,1,1,1,1,0.748,1,1,3,32,4,0,1,3,8,16,1.2,2,0
GeForce GTX 6*,1.45152,1,1,0,8,1,0,1,1.5,0.5,0.33,0,1,960,320,2,1,1,1,1,0.748,1,1,3,32,4,0,1,3,8,16,1.2,2,0
GeForce GT 6*,1.24416,1,1,0,8,1,0,1,1.5,0.5,0.33,0,1,960,320,2,1,1,1,1,0.8,1,1,3,32,4,0,1,3,8,16,1.2,2,0
GeForce 6*,1.0368,1,1,0,8,1,0,1,1.5,0.5,0.33,0,1,960,320,2,1,1,1,1,0.85,1,1,2,64,4,0,1,2,8,16,1.2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 76*,1.65888,1,1,0,16,1,0,2,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,4,24,4,0,1,4,8,16,1,0,1
GeForce GTX 77*,1.65888,1,1,0,16,1,0,2,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,4,24,4,0,1,4,8,16,1,0,1
GeForce GTX 7*,1.65888,1,1,0,16,1,0,2,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,4,24,4,0,1,4,8,16,1,0,1
GeForce GT 7*,1.24416,1,1,0,16,1,0,2,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.8,1,1,3,32,4,0,1,3,8,16,1,0,0
GeForce 7*,1.0368,1,1,0,16,1,0,2,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.85,1,1,2,64,4,0,1,2,8,16,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 8*,1.65888,2,1,0,16,1,0,3,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,4,24,4,0,1,4,8,16,1,0,1
GeForce 8*,1.65888,2,1,2,16,1,0,3,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,4,24,4,0,1,4,8,16,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 92*,-1,3,1,0,16,1,0,3,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,5,16,4,0,1,5,8,16,1,0,1
GeForce GTX 9*,-1,3,1,2,16,1,0,3,1.5,0.5,0.33,0,1,960,320,3,1,1,1,1,0.748,1,1,5,16,4,0,1,5,8,16,1,0,1
